ticker,E_idx,date,example_matched
ASC,2100,2024-05-08,False
ASHR,2197,2024-09-26,False
ASHR,2199,2024-09-30,False
ASHR,2201,2024-10-02,False
ASHR,2204,2024-10-07,False
ASHS,1132,2020-07-06,False
ASHS,1137,2020-07-13,False
ASHS,2198,2024-09-30,False
ASHS,2200,2024-10-02,False
ASHS,2203,2024-10-07,False
ASHS,2426,2025-08-28,False
ASND,1427,2021-09-02,False
ASTC,2173,2024-08-23,False
ASTE,1473,2021-11-08,False
ASTE,2229,2024-11-11,False
ASTL,692,2023-12-01,False
ASTS,221,2020-12-28,False
ASTS,1079,2024-05-28,True
ASUR,1776,2023-03-08,False
ASUR,2120,2024-07-22,False
ASX,1266,2021-01-13,False
ATEC,2479,2025-11-11,False
ATEN,1725,2022-11-08,False
ATEN,2248,2024-12-09,False
ATEX,2140,2024-07-08,False
ATHM,2197,2024-09-26,False
ATHM,2201,2024-10-02,False
ATI,2547,2026-02-20,False
ATIIU,158,2025-09-29,False
ATLC,932,2020-01-21,False
ATLC,947,2020-02-11,False
ATLC,1380,2021-10-28,False
ATLC,1384,2021-11-03,False
ATLC,1776,2023-05-26,False
ATLC,2146,2024-11-14,False
ATLC,2149,2024-11-19,False
ATLC,2151,2024-11-21,False
ATLC,2155,2024-11-27,False
ATMU,206,2024-03-22,False
ATMU,212,2024-04-02,False
ATNI,2312,2025-03-14,False
ATON,1373,2021-06-17,False
ATPC,380,2020-04-13,False
ATPC,1229,2023-08-25,False
ATR,2543,2026-02-13,False
ATRC,1017,2020-01-17,False
ATRC,2226,2024-11-06,False
AUB,2150,2024-07-22,False
AUB,2154,2024-07-26,False
AUGO,1226,2025-12-22,False
AUMI,429,2025-09-02,False
AUR,135,2021-11-18,False
AVAL,1240,2020-12-04,False
AVAL,1244,2020-12-10,False
AVAL,2529,2026-01-26,False
AVAV,1272,2021-01-22,False
AVAV,2104,2024-05-14,False
AVAV,2450,2025-10-01,False
AVGO,1175,2020-09-02,False
AVGO,1862,2023-05-26,False
AVGO,2252,2024-12-13,False
AVNT,2542,2026-02-12,False
AVPT,268,2020-11-27,False
AVPT,889,2023-05-18,False
AVPT,1269,2024-11-20,False
AVT,2538,2026-02-06,False
AWI,2405,2025-07-29,False
AX,1222,2020-11-09,False
AXIA,2492,2025-12-04,False
AXON,1726,2022-11-09,False
AXON,1730,2022-11-15,False
AXON,2054,2024-03-04,False
AXON,2228,2024-11-08,False
AXR,1779,2023-06-26,False
AYI,2203,2024-10-04,False
AZTA,1224,2020-11-11,False
BA,2002,2023-12-15,False
BABA,2451,2025-10-02,False
BABO,273,2025-09-11,False
BABO,288,2025-10-02,False
BACA,928,2025-08-25,False
BACA,1015,2025-12-29,False
BACQU,245,2025-10-24,False
BALL,2540,2026-02-10,False
BANF,1306,2021-03-12,False
BANR,2154,2024-07-26,False
BAR,2024,2025-10-16,False
BB,2257,2024-12-20,True
BBAR,1362,2021-06-02,False
BBAR,1367,2021-06-09,False
BBDC,1917,2023-08-16,False
BBSI,1557,2022-03-10,False
BBW,2062,2024-03-14,False
BBWI,1405,2021-08-03,False
BCAL,378,2020-11-09,False
BCBP,1535,2022-02-07,False
BCBP,2150,2024-07-22,False
BCD,1088,2022-03-07,False
BCI,1241,2022-03-07,False
BCLI,1040,2020-02-21,False
BCLI,1670,2022-08-22,False
BCML,1169,2021-03-05,False
BCPC,1265,2021-01-12,False
BCV,1232,2020-11-23,False
BDN,2213,2024-10-18,False
BDRY,1764,2025-07-11,False
BELFA,1203,2022-03-04,False
BEP,2101,2024-05-09,False
BF-B,1179,2020-09-09,False
BFH,1222,2020-11-09,False
BFIT,1957,2024-02-16,False
BG,2530,2026-01-27,False
BGI,1760,2022-12-29,False
BGI,1847,2023-05-05,False
BGI,1849,2023-05-09,False
BGS,1275,2021-01-27,False
BGSF,1478,2021-11-15,False
BH-A,1204,2023-06-01,False
BHC,1269,2021-01-19,False
BHE,2100,2024-05-08,False
BHRB,1473,2023-12-26,False
BIDU,1012,2020-01-10,False
BIDU,1247,2020-12-15,False
BIDU,2440,2025-09-17,False
BIIB,1365,2021-06-07,False
BILI,446,2020-01-06,False
BILL,430,2021-08-27,False
BILL,434,2021-09-02,False
BILT,136,2026-02-13,False
BIMI,1191,2020-10-19,False
BIO,1406,2021-08-04,False
BITB,218,2024-11-21,False
BITC,422,2024-11-21,False
BITO,778,2024-11-21,False
BITQ,1110,2025-10-09,False
BIVI,955,2020-12-22,False
BKD,2531,2026-01-28,False
BKE,2416,2025-08-13,False
BKNG,2229,2024-11-11,False
BKSY,432,2021-09-09,False
BKSY,437,2021-09-16,False
BKTI,2163,2024-08-19,False
BKTI,2167,2024-08-23,False
BKU,2151,2024-07-23,False
BKU,2154,2024-07-26,False
BLBD,1269,2021-01-19,False
BLBX,990,2020-06-17,False
BLCN,775,2021-02-16,False
BLD,2001,2023-12-14,False
BLDP,1017,2020-01-17,False
BLFY,1099,2025-12-01,False
BLNK,1474,2021-11-15,False
BLOK,1380,2023-07-13,False
BLOK,1484,2023-12-08,False
BLRX,1820,2023-03-28,False
BLTE,628,2024-10-29,False
BMA,1766,2023-01-09,False
BMI,1206,2020-10-16,False
BMI,2089,2024-04-23,False
BMY,2154,2024-07-26,False
BNH,574,2023-02-02,False
BNL,966,2024-07-23,False
BNO,1550,2022-03-01,False
BNO,1555,2022-03-08,False
BNO,2557,2026-03-06,False
BNO,2565,2026-03-18,False
BOAT,694,2024-05-08,False
BOAT,697,2024-05-13,False
BOC,867,2020-11-19,False
BOCN,704,2024-11-27,False
BODI,112,2021-06-28,False
BOLD,389,2025-10-16,False
BOLD,510,2026-04-14,False
BOOT,1222,2020-11-09,False
BOOT,1264,2021-01-11,False
BOSC,2466,2025-11-03,False
BOTJ,1058,2020-11-24,False
BOTT,353,2025-09-18,False
BOW,208,2025-03-25,False
BPOP,1222,2020-11-09,False
BPOP,2538,2026-02-06,False
BRBS,1546,2024-11-11,False
BRC,2431,2025-09-04,False
BRIF,188,2025-09-24,False
BRO,1023,2020-01-28,False
BROS,857,2025-02-13,False
BRRR,218,2024-11-21,False
BSRR,2147,2024-07-22,False
BSVN,722,2021-08-05,False
BSY,76,2021-01-12,False
BTC,80,2024-11-21,False
BTCO,218,2024-11-21,False
BTI,1521,2022-01-18,False
BTI,1525,2022-01-24,False
BTRN,170,2024-11-21,False
BTRN,286,2025-05-13,False
BTSGU,200,2024-11-11,False
BUSE,2151,2024-07-23,False
BVFL,844,2023-12-06,False
BVFL,997,2024-07-19,False
BVN,2002,2023-12-15,False
BVN,2525,2026-01-20,False
BW,1235,2020-11-27,False
BWA,2541,2026-02-11,False
BWAY,435,2021-01-07,False
BWEN,2112,2024-05-24,False
BWET,592,2025-09-12,False
BWIN,214,2020-08-31,False
BWIN,454,2021-08-13,False
