ticker,E_idx,date
ACTG,1271,2021-01-21
AEHL,1857,2023-05-19
AGM-A,62,2016-04-04
ALTG,938,2023-01-13
ALTG,939,2023-01-17
AMCX,1274,2021-01-26
AMCX,2110,2024-05-22
AMZA,2241,2024-11-27
AMZA,2242,2024-11-29
ANAB,944,2020-10-26
ANAB,1204,2021-11-05
ASHS,1132,2020-07-06
ASHS,1137,2020-07-13
ASHS,2198,2024-09-30
ASHS,2200,2024-10-02
ASHS,2203,2024-10-07
ASHS,2426,2025-08-28
ATMU,206,2024-03-22
ATMU,212,2024-04-02
AVPT,268,2020-11-27
AVPT,889,2023-05-18
AVPT,1268,2024-11-19
AVPT,1269,2024-11-20
BAR,2024,2025-10-16
BBY,161,2016-08-23
BBY,351,2017-05-25
BBY,355,2017-06-01
BIO,464,2017-11-03
BIO,794,2019-03-01
BIO,1406,2021-08-04
BITB,218,2024-11-21
BNDC,85,2017-11-27
BTRN,170,2024-11-21
BTRN,286,2025-05-13
BTSGU,200,2024-11-11
BX,2001,2023-12-14
CAPL,388,2017-07-19
CHGG,535,2018-02-16
CIGI,283,2017-02-16
COHN,2371,2025-11-14
COKE,655,2018-08-09
COKE,843,2019-05-10
COKE,1361,2021-06-01
COKE,1365,2021-06-07
COKE,1480,2021-11-17
COKE,1481,2021-11-18
COKE,1998,2023-12-11
COKE,2004,2023-12-19
COKE,2007,2023-12-22
COKE,2553,2026-03-02
COO,356,2017-06-02
DJCO,111,2016-06-29
DJCO,1150,2020-12-29
DSWL,541,2018-03-01
DSWL,1344,2021-06-21
EDN,1422,2021-08-26
EDN,1766,2023-01-09
EDN,2234,2024-11-18
ELA,1023,2020-01-28
ELA,1029,2020-02-05
ELA,2245,2024-12-04
EME,1910,2023-08-07
EME,2051,2024-02-28
EME,2403,2025-07-25
EWH,2197,2024-09-26
EWH,2201,2024-10-02
FCA,2200,2024-10-01
FCA,2204,2024-10-07
FCUS,469,2024-11-08
FLUT,1312,2021-03-22
FSBW,227,2016-12-09
FULT,2150,2024-07-22
GCBC,417,2017-09-13
GCBC,1344,2021-06-03
GCBC,1542,2022-03-17
GCBC,1543,2022-03-18
GCBC,1547,2022-03-24
GEO,285,2017-02-21
GEO,286,2017-02-22
GEO,2226,2024-11-06
GHM,225,2016-11-22
GHM,1914,2023-08-14
GLPG,182,2016-09-22
GLPG,890,2019-07-18
GOOG,2438,2025-09-15
GPN,1913,2023-08-10
HECO,275,2025-10-15
HELE,833,2019-04-26
HELE,1006,2020-01-02
HIG,1310,2021-03-18
HIG,1315,2021-03-25
HLIO,1481,2021-11-18
HLIO,2410,2025-08-05
IAC,88,2016-05-10
IAC,334,2017-05-02
IAC,337,2017-05-05
IAC,339,2017-05-09
IBCP,2148,2024-07-19
IBCP,2150,2024-07-23
ICUI,192,2016-10-06
INDI,308,2020-12-23
INDI,309,2020-12-24
INDI,310,2020-12-28
INDI,849,2023-02-17
ITIC,212,2016-11-14
ITIC,215,2016-11-17
IX,511,2018-01-12
IX,2542,2026-02-12
JAZZ,2483,2025-11-17
JAZZ,2488,2025-11-24
KRO,226,2016-11-23
LCNB,225,2016-11-22
LCNB,1485,2021-11-24
LGND,519,2018-01-25
LITP,616,2025-07-21
LOOP,1102,2020-09-14
LOPE,216,2016-11-09
LOPE,219,2016-11-14
LOPE,220,2016-11-15
LOPE,221,2016-11-16
LOPE,1724,2022-11-07
LRMR,500,2017-12-27
MBI,2410,2025-08-05
MOG-A,440,2017-10-02
MTD,2001,2023-12-14
MUSE,346,2026-04-10
NEGG,531,2018-02-12
NG,873,2019-06-24
NG,877,2019-06-28
NKTR,467,2017-11-08
NKTR,472,2017-11-15
NKTR,475,2017-11-20
NKTR,476,2017-11-21
NOA,1903,2023-07-27
NOA,1906,2023-08-01
OPY,461,2017-10-31
OPY,463,2017-11-02
OPY,2226,2024-11-06
PBD,1199,2020-10-07
PETS,338,2017-05-08
PETS,342,2017-05-12
PETS,956,2019-10-21
PHM,1841,2023-04-27
RAIL,2170,2024-08-19
RAIL,2175,2024-08-26
RAND,1786,2024-12-09
RPM,629,2018-07-03
RXO,418,2024-06-28
RXST,453,2023-05-18
SFUNY,2263,2024-12-27
SKYH,719,2023-10-18
SNAP,236,2018-02-07
SRL,836,2019-05-01
SRL,840,2019-05-07
SRL,1341,2021-05-03
STN,970,2019-11-12
TECX,1574,2024-09-24
TFIN,1208,2020-10-20
TFIN,1265,2021-01-12
TILE,2000,2023-12-13
TILE,2228,2024-11-08
TLPH,439,2017-09-29
TLPH,440,2017-10-02
TMCI,894,2024-11-11
TPH,457,2017-10-25
TPH,461,2017-10-31
TREE,1783,2023-02-02
UBCP,1990,2024-03-25
UCB,225,2016-11-22
USFD,2442,2026-02-12
UVSP,220,2016-11-15
UVSP,2154,2024-07-26
UWMC,163,2020-12-28
VMI,75,2016-04-21
VMI,1269,2021-01-19
VREX,514,2019-02-06
WAFD,2151,2024-07-23
WAFD,2154,2024-07-26
WMK,2306,2025-03-07
XNCR,546,2018-03-06
XNCR,1784,2023-02-03
YPF,2234,2024-11-18
YPF,2238,2024-11-22
ZKIN,83,2018-01-02
ZKIN,87,2018-01-08
