Date,Close,High,Low,Open,Volume,SMA50,SMA200,ext_sma50_pct,ext_sma200_pct
2020-08-03,1.4299999475479126,1.4299999475479126,1.3300000429153442,1.3300000429153442,44600,,,,
2020-08-04,1.4299999475479126,1.4500000476837158,1.3700000047683716,1.4199999570846558,11200,,,,
2020-08-05,1.409999966621399,1.4500000476837158,1.409999966621399,1.409999966621399,12500,,,,
2020-08-06,1.4800000190734863,1.5,1.399999976158142,1.399999976158142,273200,,,,
2020-08-07,1.4700000286102295,1.4900000095367432,1.4500000476837158,1.4800000190734863,199000,,,,
2020-08-10,1.5499999523162842,1.559999942779541,1.440000057220459,1.4900000095367432,177300,,,,
2020-08-11,1.5499999523162842,1.5700000524520874,1.5299999713897705,1.5299999713897705,112800,,,,
2020-08-12,1.5399999618530273,1.590000033378601,1.5299999713897705,1.5800000429153442,168500,,,,
2020-08-13,1.6399999856948853,1.649999976158142,1.5299999713897705,1.5499999523162842,328300,,,,
2020-08-14,1.649999976158142,1.649999976158142,1.4500000476837158,1.649999976158142,125100,,,,
2020-08-17,1.6299999952316284,1.659999966621399,1.6100000143051147,1.649999976158142,182900,,,,
2020-08-18,1.6799999475479126,1.690000057220459,1.6100000143051147,1.649999976158142,141900,,,,
2020-08-19,2.450000047683716,2.680000066757202,1.6699999570846558,1.690000057220459,2641400,,,,
2020-08-20,2.509999990463257,2.5199999809265137,2.049999952316284,2.1700000762939453,554700,,,,
2020-08-21,2.440000057220459,2.6500000953674316,2.309999942779541,2.509999990463257,316000,,,,
2020-08-24,2.3499999046325684,2.5,2.299999952316284,2.440000057220459,143400,,,,
2020-08-25,2.2699999809265137,2.4700000286102295,2.2200000286102295,2.4100000858306885,111600,,,,
2020-08-26,1.7999999523162842,2.2799999713897705,1.7999999523162842,2.2799999713897705,324500,,,,
2020-08-27,2.119999885559082,2.319999933242798,1.899999976158142,1.909999966621399,278800,,,,
2020-08-28,2.0899999141693115,2.2699999809265137,2.069999933242798,2.130000114440918,153900,,,,
2020-08-31,2.0999999046325684,2.130000114440918,2.0,2.0899999141693115,84600,,,,
2020-09-01,2.140000104904175,2.240000009536743,2.0799999237060547,2.0999999046325684,116700,,,,
2020-09-02,2.2300000190734863,2.2899999618530273,2.130000114440918,2.1600000858306885,102700,,,,
2020-09-03,2.1700000762939453,2.259999990463257,2.0999999046325684,2.259999990463257,65600,,,,
2020-09-04,2.0199999809265137,2.2100000381469727,1.9600000381469727,2.2100000381469727,105800,,,,
2020-09-08,1.9299999475479126,2.049999952316284,1.8899999856948853,1.9500000476837158,24400,,,,
2020-09-09,1.9299999475479126,2.0399999618530273,1.8899999856948853,1.899999976158142,38000,,,,
2020-09-10,1.9800000190734863,2.0199999809265137,1.899999976158142,2.0199999809265137,10500,,,,
