Date,Close,High,Low,Open,Volume,SMA50,SMA200,ext_sma50_pct,ext_sma200_pct
2020-05-26,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,0,,,,
2020-05-27,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,0,,,,
2020-05-28,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,0,,,,
2020-05-29,48.95000076293945,48.95000076293945,48.95000076293945,48.95000076293945,0,,,,
2020-06-01,48.45000076293945,48.45000076293945,48.04999923706055,48.04999923706055,1020,,,,
2020-06-02,48.25,48.29999923706055,48.25,48.29999923706055,440,,,,
2020-06-03,48.25,48.25,48.25,48.25,0,,,,
2020-06-04,48.25,48.25,48.25,48.25,0,,,,
2020-06-05,48.25,48.25,48.25,48.25,0,,,,
2020-06-08,49.0,49.0,49.0,49.0,20,,,,
2020-06-09,49.0,49.0,49.0,49.0,0,,,,
2020-06-10,48.5,48.5,48.5,48.5,15700,,,,
2020-06-11,48.5,48.5,48.5,48.5,0,,,,
2020-06-12,48.5,48.5,48.5,48.5,0,,,,
2020-06-15,48.5,48.5,48.5,48.5,0,,,,
2020-06-16,48.5,48.5,48.5,48.5,0,,,,
2020-06-17,48.5,48.5,48.5,48.5,0,,,,
2020-06-18,48.95000076293945,48.95000076293945,48.900001525878906,48.900001525878906,120,,,,
2020-06-19,49.20000076293945,49.20000076293945,48.939998626708984,48.95000076293945,5760,,,,
2020-06-22,49.14500045776367,49.14500045776367,48.95000076293945,48.95000076293945,320,,,,
2020-06-23,49.0,49.25,49.0,49.25,80,,,,
2020-06-24,49.224998474121094,49.375,49.224998474121094,49.375,120,,,,
2020-06-25,49.54999923706055,49.54999923706055,49.20000076293945,49.5,40200,,,,
2020-06-26,49.275001525878906,49.45000076293945,49.275001525878906,49.45000076293945,420,,,,
2020-06-29,49.375,49.5,49.290000915527344,49.5,400,,,,
2020-06-30,49.599998474121094,49.599998474121094,49.54999923706055,49.54999923706055,25060,,,,
2020-07-01,49.75,49.75,49.42499923706055,49.42499923706055,13640,,,,
2020-07-02,49.70000076293945,49.95000076293945,49.70000076293945,49.95000076293945,80120,,,,
2020-07-06,49.25,49.619998931884766,49.07500076293945,49.07500076293945,720,,,,
2020-07-07,49.349998474121094,49.5,49.25,49.25,3800,,,,
2020-07-08,49.5,49.75,49.349998474121094,49.650001525878906,27060,,,,
2020-07-09,49.75,49.75,49.599998474121094,49.599998474121094,120,,,,
2020-07-10,49.79999923706055,49.95000076293945,49.724998474121094,49.95000076293945,121620,,,,
2020-07-13,50.25,50.5,49.95000076293945,49.95000076293945,10780,,,,
2020-07-14,50.5,50.5,49.75,49.75,500,,,,
2020-07-15,50.25,50.25,50.11000061035156,50.125,440,,,,
2020-07-16,50.25,50.25,50.099998474121094,50.25,1140,,,,
2020-07-17,50.150001525878906,50.25,50.099998474121094,50.20000076293945,10240,,,,
2020-07-20,50.75,51.0,50.70000076293945,51.0,4360,,,,
2020-07-21,50.5,50.5,50.42499923706055,50.42499923706055,7020,,,,
2020-07-22,50.25,50.349998474121094,50.25,50.349998474121094,60,,,,
2020-07-23,50.099998474121094,50.150001525878906,50.099998474121094,50.099998474121094,1540,,,,
2020-07-24,50.099998474121094,50.25,50.099998474121094,50.25,1500,,,,
2020-07-27,50.099998474121094,50.42499923706055,50.099998474121094,50.42499923706055,400,,,,
2020-07-28,50.099998474121094,50.099998474121094,50.099998474121094,50.099998474121094,300,,,,
2020-07-29,50.150001525878906,50.150001525878906,50.150001525878906,50.150001525878906,40260,,,,
2020-07-30,50.099998474121094,50.150001525878906,50.099998474121094,50.099998474121094,5000,,,,
2020-07-31,49.70000076293945,50.04999923706055,49.70000076293945,50.04999923706055,5860,,,,
2020-08-03,49.95000076293945,49.95000076293945,49.79999923706055,49.79999923706055,1980,,,,
2020-08-04,50.0,50.0,49.95000076293945,49.95000076293945,3460,49.397399978637694,,1.2199023058357517,
2020-08-05,49.75,49.75,49.75,49.75,740,49.41339996337891,,0.6811918161279129,
2020-08-06,49.8650016784668,49.8650016784668,49.75,49.75,220,49.431699981689455,,0.8765664481250823,
2020-08-07,49.95000076293945,50.0,49.75,49.75,1140,49.45169998168945,,1.0076514688767135,
2020-08-10,49.75,49.900001525878906,49.75,49.900001525878906,22900,49.467699966430665,,0.5706754786677148,
2020-08-11,49.75,49.75,49.75,49.75,700,49.49369995117188,,0.517843784322003,
2020-08-12,49.75,49.75,49.75,49.75,5020,49.52369995117188,,0.4569530326919091,
2020-08-13,50.0,50.0,50.0,50.0,520,49.558699951171874,,0.890459292239143,
2020-08-14,49.775001525878906,49.775001525878906,49.75,49.75,10460,49.589199981689454,,0.3746814714858493,
2020-08-17,49.650001525878906,50.0,49.650001525878906,50.0,45080,49.61720001220703,,0.06610915904929904,
2020-08-18,49.650001525878906,49.650001525878906,49.650001525878906,49.650001525878906,133600,49.63020004272461,,0.039898052269071727,
2020-08-19,49.95000076293945,50.25,49.95000076293945,50.25,340,49.6492000579834,,0.6058520673137835,
2020-08-20,49.75,49.75,49.75,49.75,20,49.6742000579834,,0.15259418758253318,
2020-08-21,49.75,49.75,49.75,49.75,0,49.6992000579834,,0.10221480820080675,
2020-08-24,49.25,49.25,49.25,49.25,40,49.7142000579834,,-0.9337373576201236,
2020-08-25,49.25,49.625,49.25,49.5,1100,49.7292000579834,,-0.9636190757636554,
2020-08-26,49.150001525878906,49.54999923706055,49.150001525878906,49.54999923706055,480,49.74220008850098,,-1.1905355243001625,
