Date,Close,High,Low,Open,Volume
2025-04-10,444.590576171875,453.96705879904806,431.0888571820337,451.9442914367033,108384100
2025-04-11,452.78131103515625,454.1663741146707,439.75786224336997,443.06604289719394,52483800
2025-04-14,455.850341796875,463.3933522712816,451.01761274443425,462.8054576620582,43941200
2025-04-15,456.3585205078125,460.7328968756089,454.52507867632215,456.9065795217768,35404200
2025-04-16,442.5976867675781,451.00762332139715,436.2005738134235,447.43041565591307,48980600
2025-04-17,442.51800537109375,446.1549970317344,439.78774529190997,445.57707652380003,44837000
2025-04-21,431.5671081542969,437.51584230875216,426.40556828000206,436.6688946094812,44149300
2025-04-22,442.89666748046875,445.9856002161295,436.06108861931057,437.2568260974721,52304400
2025-04-23,452.9407043457031,461.7292918835912,451.26669636006665,456.53786014306723,55801100
2025-04-24,465.6851501464844,465.9940433908054,454.2061687513021,454.8538775624891,45956100
2025-04-25,470.8765869140625,471.40469766730706,463.7321457882604,465.30650394037264,38697100
2025-04-28,470.7271423339844,473.1185867567387,464.36986487736374,471.34492884890216,33550800
2025-04-29,473.8360290527344,474.722873222181,467.91718654726753,468.4951374553907,30613100
2025-04-30,473.7762451171875,475.5000933242452,460.7826887017505,465.4659581608863,46810600
2025-05-01,479.964111328125,485.4445187613678,479.0274574431888,481.68795952250036,43316500
2025-05-02,487.0886535644531,489.1612611202772,483.10290255126364,484.8068330037864,39218100
2025-05-05,484.198974609375,487.2879376271539,482.37550695931134,482.87372581995743,28309500
2025-05-06,479.6950988769531,483.32211645922314,476.48656811897325,477.85168296536403,32786300
2025-05-07,481.5783386230469,484.06943292672264,475.08157562625235,480.3626833864985,38006300
2025-05-08,486.55059814453125,490.9448922772597,482.4452794741909,486.78973347402933,39577600
2025-05-09,486.2317199707031,489.789009962343,484.4680361370782,488.46373075344206,27767400
2025-05-12,506.0408935546875,506.08075957729017,499.69359025194126,505.1839413174901,45090600
2025-05-13,513.7533569335938,515.5469326874095,506.60888501619945,507.34623920694446,53269600
2025-05-14,516.8323364257812,517.3803650369858,513.9127810511419,514.9291670405382,47014500
2025-05-15,517.4003295898438,520.0707756057274,513.334846321635,514.6800738473207,50153300
2025-05-16,519.6522216796875,519.8415472706685,515.2578974745052,518.8052131652029,48394600
2025-05-19,520.1505126953125,520.6686798199481,512.4081714236444,512.4081714236444,52536200
2025-05-20,518.4166870117188,519.0743091661009,514.819500517199,517.6194881585196,42517600
2025-05-21,511.21240234375,521.1369442471234,509.418826553865,514.4309376384672,71292800
2025-05-22,512.1690063476562,515.8658123150946,510.47504999969107,511.83019075096956,55607200
2025-05-23,507.4259338378906,510.01667798674157,503.77896814055566,504.37683685319297,58368100
2025-05-27,519.3632202148438,519.8515257666644,512.7568943253785,514.3113346789697,47226300
2025-05-28,517.0614624023438,521.8144897137478,516.543356152141,520.3198331572289,46637200
2025-05-29,518.077880859375,524.6045360691892,515.4771928839561,524.4551068947912,58513300
2025-05-30,517.2608032226562,518.8252178409589,510.10638723489177,517.589644720194,67662800
2025-06-02,521.34619140625,521.58532672364,514.1319313645083,515.3974267063834,44762800
2025-06-03,525.4215698242188,526.8564424978958,520.8280067740416,521.6949026792081,44070300
2025-06-04,526.8863525390625,527.9525481163902,524.0962784813655,526.1290501987006,41359300
2025-06-05,522.9205322265625,531.1511175724819,520.7981150051966,528.2913461648635,61031200
2025-06-06,528.0322875976562,529.9055954761677,526.3284179293108,528.1120196484558,42467000
2025-06-09,528.8095703125,530.4536562468535,527.1255879414605,528.251567558544,33688700
2025-06-10,532.3070068359375,532.9945512832284,527.0059509616149,529.2777972976213,40664800
2025-06-11,530.5133666992188,534.8678553808483,528.221572163124,533.7119535961438,53701000
2025-06-12,531.7589111328125,532.735461425523,528.9490103653087,529.1981197879245,34104900
2025-06-13,525.0828247070312,529.9753069836088,523.8571649976662,525.8002306481651,55814400
2025-06-16,532.38671875,533.4628885796845,528.5604317387102,528.6102414640853,37622100
2025-06-17,527.1952514648438,531.4301114980193,526.0293756198878,529.8158873625565,42180900
2025-06-18,527.1055908203125,530.6529067451564,525.5212888702348,528.2116221164397,43983500
