Date,Close,High,Low,Open,Volume
2025-06-30,183.17999267578125,184.42999267578125,163.30999755859375,168.9499969482422,1367000
2025-07-01,168.7100067138672,176.83999633789062,166.8000030517578,173.1699981689453,1055300
2025-07-02,176.4600067138672,176.8000030517578,164.91000366210938,167.88999938964844,853800
2025-07-03,175.64999389648438,177.4199981689453,170.9499969482422,174.58999633789062,462100
2025-07-07,183.64999389648438,186.22999572753906,167.25999450683594,174.0,1050600
2025-07-08,173.85000610351562,188.5,171.13999938964844,185.5,1087300
2025-07-09,179.3699951171875,180.14999389648438,172.05999755859375,180.14999389648438,476000
2025-07-10,197.4600067138672,197.97999572753906,178.0,182.91000366210938,1517200
2025-07-11,206.39999389648438,206.9600067138672,192.0,192.5,1244900
2025-07-14,216.27000427246094,217.0,199.22999572753906,204.0,1015000
2025-07-15,215.25999450683594,221.0,208.0,219.33999633789062,1119800
2025-07-16,227.25999450683594,229.49000549316406,210.27999877929688,216.0,1217900
2025-07-17,233.88999938964844,235.82000732421875,225.39999389648438,228.3000030517578,1052000
2025-07-18,249.33999633789062,249.4199981689453,234.9499969482422,239.0,1219600
2025-07-21,224.0,250.8800048828125,222.22000122070312,249.66000366210938,1929000
2025-07-22,215.8300018310547,225.24000549316406,208.0,219.4499969482422,1350200
2025-07-23,229.50999450683594,233.89999389648438,218.0,221.5,1454100
2025-07-24,242.3300018310547,246.58999633789062,232.72999572753906,235.0,1084100
2025-07-25,241.0,246.0,239.0,245.0,747700
2025-07-28,239.39999389648438,246.1199951171875,227.57000732421875,246.0,821700
2025-07-29,224.0800018310547,242.0,222.89999389648438,239.6300048828125,1127600
2025-07-30,225.19000244140625,233.8699951171875,216.0,217.0,1003800
2025-07-31,215.39999389648438,227.24000549316406,213.0,225.16000366210938,1073000
2025-08-01,208.3300018310547,214.2100067138672,192.94000244140625,201.22000122070312,1299000
2025-08-04,210.0500030517578,212.0,198.60000610351562,212.0,1065100
2025-08-05,213.8000030517578,218.9600067138672,206.1199951171875,212.7899932861328,1086100
2025-08-06,232.38999938964844,264.8999938964844,230.10000610351562,237.0,2838200
2025-08-07,234.94000244140625,237.8300018310547,222.22000122070312,235.0,1528400
2025-08-08,223.14999389648438,246.0,217.02000427246094,230.16000366210938,1282800
2025-08-11,219.10000610351562,225.0,211.0,219.77000427246094,774700
2025-08-12,217.3699951171875,229.9600067138672,215.0,216.0,1028100
2025-08-13,187.44000244140625,201.8000030517578,183.3300018310547,200.99000549316406,5105500
2025-08-14,189.0800018310547,192.64999389648438,182.47000122070312,188.61000061035156,2849800
2025-08-15,183.41000366210938,187.55999755859375,177.0500030517578,187.0,1666500
2025-08-18,177.57000732421875,182.25,175.2100067138672,181.88999938964844,1075200
2025-08-19,166.5800018310547,179.0,164.75999450683594,178.7100067138672,1368200
2025-08-20,175.99000549316406,177.6699981689453,162.10000610351562,168.0,1543400
2025-08-21,177.27999877929688,179.94000244140625,173.82000732421875,177.07000732421875,833900
2025-08-22,186.47000122070312,191.99000549316406,174.32000732421875,178.92999267578125,1713600
