Date,Close,High,Low,Open,Volume
2025-06-30,350.0799865722656,361.75799560546875,340.04998779296875,341.32000732421875,8204900
2025-07-01,336.69000244140625,358.5299987792969,331.0,347.0,5379800
2025-07-02,336.0,348.54998779296875,333.2049865722656,342.5299987792969,4127400
2025-07-03,341.6400146484375,343.5,325.5799865722656,332.0,3525800
2025-07-07,345.0,346.7799987792969,338.2200012207031,341.8699951171875,3158400
2025-07-08,344.75,359.0,341.5,352.1400146484375,3023100
2025-07-09,352.739990234375,362.6400146484375,344.75,350.2699890136719,4234900
2025-07-10,346.32000732421875,359.3550109863281,334.5260009765625,359.3550109863281,5618400
2025-07-11,335.1000061035156,345.92999267578125,332.32000732421875,342.0,3584600
2025-07-14,355.8999938964844,362.5299987792969,342.1099853515625,342.8999938964844,6338800
2025-07-15,352.9599914550781,354.3760070800781,345.4100036621094,348.0,3389500
2025-07-16,355.5,358.55999755859375,348.7099914550781,355.5799865722656,3703500
2025-07-17,363.7799987792969,369.3999938964844,351.0,356.5899963378906,4602400
2025-07-18,364.4599914550781,375.4949951171875,361.0,372.5899963378906,4836500
2025-07-21,366.1700134277344,375.5,359.3999938964844,360.6000061035156,4582400
2025-07-22,350.0,364.9049987792969,343.0,363.29998779296875,4775200
2025-07-23,362.1199951171875,363.67999267578125,349.2099914550781,352.9800109863281,3626100
2025-07-24,359.94000244140625,364.7799987792969,355.0,363.82000732421875,2673300
2025-07-25,364.1400146484375,369.7900085449219,357.02899169921875,360.0,2883700
2025-07-28,370.9599914550781,371.69500732421875,362.1700134277344,366.5,2823000
2025-07-29,361.6300048828125,379.2300109863281,359.4599914550781,373.9599914550781,3270300
2025-07-30,363.30999755859375,366.79998779296875,358.54998779296875,362.5299987792969,2247100
2025-07-31,390.70001220703125,397.9200134277344,377.5199890136719,380.0,7940700
2025-08-01,379.1700134277344,385.9200134277344,366.4700012207031,377.4599914550781,6336300
2025-08-04,395.010009765625,395.55999755859375,368.18798828125,383.010009765625,4986200
2025-08-05,377.92999267578125,399.94000244140625,376.90899658203125,398.0,6389800
2025-08-06,390.57000732421875,393.45001220703125,378.3599853515625,385.19000244140625,12843900
2025-08-07,437.3399963378906,453.760009765625,385.1000061035156,397.25,20738700
2025-08-08,455.9800109863281,464.9800109863281,447.01800537109375,448.6000061035156,9487800
2025-08-11,465.5799865722656,473.70001220703125,449.21099853515625,455.0,5976600
2025-08-12,467.0,470.2799987792969,458.4800109863281,466.9200134277344,4536800
2025-08-13,446.3999938964844,472.04998779296875,438.7699890136719,470.3800048828125,6334100
2025-08-14,433.3399963378906,445.0,426.0,434.5799865722656,5005100
2025-08-15,438.67999267578125,441.5,421.3999938964844,434.5,3404000
2025-08-18,438.5400085449219,444.0,432.6099853515625,438.0050048828125,2713000
2025-08-19,412.6000061035156,434.07000732421875,407.5199890136719,430.6400146484375,5456700
2025-08-20,412.3800048828125,412.80999755859375,385.19000244140625,405.0199890136719,6374400
2025-08-21,418.760009765625,431.8599853515625,408.79998779296875,411.6199951171875,5061500
2025-08-22,441.67999267578125,446.9200134277344,412.3299865722656,418.760009765625,6208200
2025-08-25,450.67999267578125,454.3900146484375,434.0199890136719,440.29998779296875,4018600
2025-08-26,469.3299865722656,471.9200134277344,444.0,448.010009765625,5593700
2025-08-27,462.94000244140625,474.9800109863281,458.6499938964844,469.0,2968600
