Date,Open,High,Low,Close,Volume
2025-07-14,5.25,5.355000019073486,5.179999828338623,5.260000228881836,1825100
2025-07-15,5.289999961853027,5.289999961853027,5.039999961853027,5.099999904632568,2194800
2025-07-16,5.179999828338623,5.295000076293945,5.039999961853027,5.21999979019165,2140400
2025-07-17,5.449999809265137,5.744999885559082,5.40500020980835,5.639999866485596,4532000
2025-07-18,5.75,5.960000038146973,5.670000076293945,5.820000171661377,2132000
2025-07-21,5.949999809265137,5.985000133514404,5.78000020980835,5.909999847412109,1924700
2025-07-22,5.920000076293945,6.690000057220459,5.894999980926514,6.429999828338623,6498400
2025-07-23,6.440000057220459,6.499000072479248,6.130000114440918,6.389999866485596,2341500
2025-07-24,6.349999904632568,6.360000133514404,6.039999961853027,6.079999923706055,1693400
2025-07-25,6.150000095367432,6.150000095367432,5.739999771118164,5.760000228881836,2185400
2025-07-28,5.849999904632568,5.849999904632568,5.550000190734863,5.650000095367432,1755200
2025-07-29,5.690000057220459,5.699999809265137,5.320000171661377,5.510000228881836,3177400
2025-07-30,5.579999923706055,5.585000038146973,5.255000114440918,5.349999904632568,2382900
2025-07-31,5.289999961853027,5.385000228881836,5.199999809265137,5.260000228881836,1778000
2025-08-01,5.130000114440918,5.360000133514404,5.0,5.239999771118164,3232400
2025-08-04,5.369999885559082,5.78000020980835,5.309999942779541,5.769999980926514,2478600
2025-08-05,6.010000228881836,6.010000228881836,5.590000152587891,5.710000038146973,2632500
2025-08-06,5.71999979019165,5.800000190734863,5.420000076293945,5.75,3591700
2025-08-07,5.929999828338623,6.050000190734863,5.420000076293945,5.510000228881836,7560900
2025-08-08,7.050000190734863,7.369999885559082,6.320000171661377,6.400000095367432,15810300
2025-08-11,6.519999980926514,6.800000190734863,6.440000057220459,6.559999942779541,6832100
2025-08-12,6.639999866485596,7.699999809265137,6.519999980926514,7.650000095367432,8094200
2025-08-13,7.675000190734863,7.929999828338623,7.480000019073486,7.800000190734863,4244800
