Date,Open,High,Low,Close,Volume
2025-01-30,521.0674092489711,523.4453032843132,515.5951619544196,520.4107055664062,27431300
2025-01-31,524.2610600801457,528.8378841779202,518.5599940127812,519.6544189453125,38755200
2025-02-03,510.8790043064367,518.2217697288138,508.4712326155503,515.49560546875,40580800
2025-02-04,516.0129287189441,522.4602103421444,515.6149228814181,521.8234252929688,26046800
2025-02-05,519.1868804659659,524.3506939252882,517.9929235736566,524.1914672851562,21134100
2025-02-06,524.6989250686672,527.1365745057541,523.0871044523607,526.9276123046875,19434500
2025-02-07,527.4649102497111,529.4149811581992,519.5550140724782,520.2813110351562,29605500
2025-02-10,524.559620960653,527.6837911084541,524.0920217277084,526.5794067382812,20852800
2025-02-11,523.306019618235,527.2459985319832,523.1766707420592,525.3257446289062,19325500
2025-02-12,519.6644316230244,526.5196788561027,519.3162220342847,525.6341552734375,25009400
2025-02-13,527.3056905351805,533.5141936498824,526.5196987532877,533.1958618164062,28714800
2025-02-14,533.3052931830399,536.1210299534633,532.966982109474,535.4345092773438,17862600
2025-02-18,537.0064842826905,537.2751412860282,533.3351017214825,536.6483154296875,20565000
2025-02-19,535.8523280383527,538.0810150531318,533.7529898884638,536.7975463867188,19666900
2025-02-20,536.0115349648631,536.3796630770588,529.7732148425396,534.5191040039062,26550800
2025-02-21,535.6632745780284,535.6831930883143,523.0572259266131,523.4253540039062,47093800
2025-02-24,525.2162949415896,526.400292568826,516.908453766449,517.2467041015625,39268400
2025-02-25,516.6198772023894,516.6994905216765,506.86934067706676,510.7297668457031,48940000
2025-02-26,512.928668459214,517.0377726397771,508.7896257822196,511.9635314941406,34457600
2025-02-27,515.5154989416602,516.4507580909494,497.5267143835209,497.74560546875,52448000
2025-02-28,497.60630544462947,506.21265072070776,494.4224407770984,505.6057434082031,47654000
2025-03-03,508.93885561166286,510.4511747502602,491.08937854664106,494.5418701171875,44587200
2025-03-04,491.68635636601033,501.19811409825184,485.2788502299198,493.0494384765625,67875400
2025-03-05,493.6961873600139,501.08868829896096,488.7811121667995,499.47686767578125,46323700
2025-03-06,491.1988293432897,496.06413848203505,483.74663380211234,485.7365417480469,57574300
2025-03-07,484.7017992368597,490.7909129209113,478.1052492912749,489.3084411621094,54714700
2025-03-10,481.0105123404904,481.527877477655,466.29513451841564,470.3446044921875,76668000
2025-03-11,469.96652188682117,476.39391614178453,464.65347123925363,469.2203063964844,68760800
2025-03-12,476.7421760776683,478.632582659648,469.40936974367503,474.51348876953125,46971100
2025-03-13,473.8468663020031,473.8767137089589,464.07641024395843,465.9767761230469,46563300
2025-03-14,471.3395542793586,478.1350765220873,470.73261656970107,477.2396240234375,43563000
2025-03-17,477.1898651106022,483.3884393542646,475.3890008308422,480.33392333984375,41744400
2025-03-18,476.9908675616912,477.1898401296811,470.02619004677405,472.14544677734375,39072300
2025-03-19,474.40401064913135,482.8810077328089,472.4737974749432,478.46343994140625,40430300
2025-03-20,474.4736490056198,482.10492887042955,473.7771690886222,476.8416442871094,36780500
2025-03-21,471.6877671830669,479.1797694014654,470.52368803573967,478.4136657714844,42234900
2025-03-24,486.00252834320924,489.7591180442307,482.67442997651204,488.9121398925781,34567200
2025-03-25,489.639545469345,491.8615821216475,488.67299966529646,491.7021484375,26035200
2025-03-26,490.54628025757523,491.4032325143907,481.1000700784772,482.6545104980469,34627100
2025-03-27,480.69152170184447,484.84664994408064,478.5392125885613,479.9043273925781,33469800
2025-03-28,478.10080496658304,478.80826727024373,466.3826870366339,467.26953125,46363800
2025-03-31,460.2745390190723,468.1862267806507,455.70086298518777,467.2496032714844,53000300
2025-04-01,465.6353253704141,471.94279304476703,462.76561033586444,471.01611328125,41156200
2025-04-02,464.4595276487334,477.85165253272163,464.20044412047605,474.45379638671875,49894500
2025-04-03,454.8140352690705,458.4311090574493,448.5364897977271,449.05462646484375,70456300
2025-04-04,436.57922963452495,438.8012662497565,421.1643371582031,421.1643371582031,117088400
