Date,Open,High,Low,Close,Volume
2025-04-21,67.12999725341797,67.12999725341797,60.52000045776367,62.630001068115234,564600
2025-04-22,64.01000213623047,65.79000091552734,63.0,65.2300033569336,300500
2025-04-23,67.61000061035156,68.87999725341797,65.93000030517578,67.2699966430664,413900
2025-04-24,67.37000274658203,69.58000183105469,67.37000274658203,68.75,388600
2025-04-25,67.4000015258789,70.66000366210938,67.2699966430664,69.55999755859375,232700
2025-04-28,72.0,72.52999877929688,67.69999694824219,70.37000274658203,277000
2025-04-29,70.0,71.25,68.48999786376953,70.95999908447266,226400
2025-04-30,67.69000244140625,69.83999633789062,66.37999725341797,69.29000091552734,300800
2025-05-01,70.87999725341797,72.05000305175781,69.5,71.08999633789062,324000
2025-05-02,72.43000030517578,74.52999877929688,72.0,73.41999816894531,341700
2025-05-05,73.38999938964844,73.87000274658203,71.0,71.66000366210938,330700
2025-05-06,70.43000030517578,75.55999755859375,70.43000030517578,74.45999908447266,474600
2025-05-07,76.0,76.0,71.52999877929688,72.5,693400
2025-05-08,80.75,89.9000015258789,80.44999694824219,88.45999908447266,1899800
2025-05-09,90.83999633789062,94.05999755859375,88.47000122070312,93.5999984741211,1266600
2025-05-12,99.8499984741211,101.52999877929688,92.0999984741211,94.70999908447266,1046000
2025-05-13,94.91000366210938,97.5,92.13999938964844,92.56999969482422,769300
2025-05-14,94.06999969482422,98.68000030517578,92.77999877929688,96.91999816894531,2138100
2025-05-15,95.16000366210938,96.52999877929688,91.62999725341797,96.30999755859375,626700
2025-05-16,96.38999938964844,97.48999786376953,94.0,95.75,566100
2025-05-19,93.36000061035156,95.54000091552734,90.25,95.19999694824219,466800
2025-05-20,96.4800033569336,97.0,92.98999786376953,95.08999633789062,357100
2025-05-21,93.69999694824219,98.70999908447266,92.83999633789062,93.33999633789062,839300
2025-05-22,92.91000366210938,94.76000213623047,90.83000183105469,93.16999816894531,576700
2025-05-23,111.75,118.2699966430664,100.5,113.29000091552734,4260200
2025-05-27,115.80999755859375,129.1199951171875,115.80999755859375,127.86000061035156,3199400
2025-05-28,130.5500030517578,136.0,126.5,127.73999786376953,2487700
2025-05-29,129.60000610351562,130.0,122.38999938964844,123.5,1252100
2025-05-30,118.0,128.69000244140625,117.63999938964844,126.91999816894531,1169300
2025-06-02,125.04000091552734,127.98999786376953,123.26000213623047,124.58000183105469,771700
2025-06-03,135.47000122070312,139.0,130.2100067138672,131.4499969482422,1905100
2025-06-04,133.99000549316406,142.69000244140625,128.17999267578125,141.0,1903200
2025-06-05,144.3800048828125,146.8300018310547,130.80999755859375,136.33999633789062,1869400
2025-06-06,136.97999572753906,143.64999389648438,133.0,143.11000061035156,995700
2025-06-09,149.33999633789062,152.72000122070312,144.14999389648438,146.0800018310547,1263500
2025-06-10,147.58999633789062,149.38999938964844,140.64999389648438,145.9199981689453,970100
2025-06-11,147.1199951171875,165.0,147.1199951171875,158.1300048828125,2092600
2025-06-12,155.9600067138672,160.55999755859375,154.0500030517578,158.44000244140625,692000
2025-06-13,153.9499969482422,165.25,152.16000366210938,162.24000549316406,1045600
2025-06-16,172.60000610351562,176.6199951171875,166.5,169.92999267578125,1303600
2025-06-17,175.0,176.47000122070312,168.5800018310547,173.02999877929688,1129400
2025-06-18,176.0,182.38999938964844,174.6300048828125,180.9600067138672,1101300
2025-06-20,193.19000244140625,211.30999755859375,188.47999572753906,190.0399932861328,2947300
2025-06-23,198.75999450683594,204.9499969482422,183.61000061035156,192.25,1892000
2025-06-24,198.10000610351562,203.4600067138672,184.8800048828125,192.17999267578125,1965400
2025-06-25,195.6999969482422,195.6999969482422,177.0,181.17999267578125,1639700
2025-06-26,163.4600067138672,184.0,151.0,174.9600067138672,2570300
2025-06-27,177.30999755859375,178.66000366210938,161.74000549316406,168.64999389648438,1712900
2025-06-30,168.9499969482422,184.42999267578125,163.30999755859375,183.17999267578125,1367000
2025-07-01,173.1699981689453,176.83999633789062,166.8000030517578,168.7100067138672,1055300
2025-07-02,167.88999938964844,176.8000030517578,164.91000366210938,176.4600067138672,853800
2025-07-03,174.58999633789062,177.4199981689453,170.9499969482422,175.64999389648438,462100
2025-07-07,174.0,186.22999572753906,167.25999450683594,183.64999389648438,1050600
2025-07-08,185.5,188.5,171.13999938964844,173.85000610351562,1087300
2025-07-09,180.14999389648438,180.14999389648438,172.05999755859375,179.3699951171875,476000
2025-07-10,182.91000366210938,197.97999572753906,178.0,197.4600067138672,1517200
2025-07-11,192.5,206.9600067138672,192.0,206.39999389648438,1244900
2025-07-14,204.0,217.0,199.22999572753906,216.27000427246094,1015000
2025-07-15,219.33999633789062,221.0,208.0,215.25999450683594,1119800
2025-07-16,216.0,229.49000549316406,210.27999877929688,227.25999450683594,1217900
2025-07-17,228.3000030517578,235.82000732421875,225.39999389648438,233.88999938964844,1052000
2025-07-18,239.0,249.4199981689453,234.9499969482422,249.33999633789062,1219600
2025-07-21,249.66000366210938,250.8800048828125,222.22000122070312,224.0,1929000
2025-07-22,219.4499969482422,225.24000549316406,208.0,215.8300018310547,1350200
2025-07-23,221.5,233.89999389648438,218.0,229.50999450683594,1454100
2025-07-24,235.0,246.58999633789062,232.72999572753906,242.3300018310547,1084100
2025-07-25,245.0,246.0,239.0,241.0,747700
2025-07-28,246.0,246.1199951171875,227.57000732421875,239.39999389648438,821700
2025-07-29,239.6300048828125,242.0,222.89999389648438,224.0800018310547,1127600
2025-07-30,217.0,233.8699951171875,216.0,225.19000244140625,1003800
2025-07-31,225.16000366210938,227.24000549316406,213.0,215.39999389648438,1073000
2025-08-01,201.22000122070312,214.2100067138672,192.94000244140625,208.3300018310547,1299000
2025-08-04,212.0,212.0,198.60000610351562,210.0500030517578,1065100
2025-08-05,212.7899932861328,218.9600067138672,206.1199951171875,213.8000030517578,1086100
2025-08-06,237.0,264.8999938964844,230.10000610351562,232.38999938964844,2838200
2025-08-07,235.0,237.8300018310547,222.22000122070312,234.94000244140625,1528400
2025-08-08,230.16000366210938,246.0,217.02000427246094,223.14999389648438,1282800
2025-08-11,219.77000427246094,225.0,211.0,219.10000610351562,774700
2025-08-12,216.0,229.9600067138672,215.0,217.3699951171875,1028100
2025-08-13,200.99000549316406,201.8000030517578,183.3300018310547,187.44000244140625,5105500
2025-08-14,188.61000061035156,192.64999389648438,182.47000122070312,189.0800018310547,2849800
2025-08-15,187.0,187.55999755859375,177.0500030517578,183.41000366210938,1666500
2025-08-18,181.88999938964844,182.25,175.2100067138672,177.57000732421875,1075200
2025-08-19,178.7100067138672,179.0,164.75999450683594,166.5800018310547,1368200
2025-08-20,168.0,177.6699981689453,162.10000610351562,175.99000549316406,1543400
2025-08-21,177.07000732421875,179.94000244140625,173.82000732421875,177.27999877929688,833900
2025-08-22,178.92999267578125,191.99000549316406,174.32000732421875,186.47000122070312,1713600
2025-08-25,192.0,193.10000610351562,184.41000366210938,185.27999877929688,978600
2025-08-26,194.25,211.52000427246094,192.16000366210938,208.6699981689453,2440500
2025-08-27,205.58999633789062,210.47999572753906,197.67999267578125,198.2899932861328,1394600
2025-08-28,206.05999755859375,215.2899932861328,202.0,209.3800048828125,1529800
2025-08-29,211.69000244140625,212.0,195.0,201.72999572753906,1440300
2025-09-02,192.47000122070312,205.0,186.5,203.88999938964844,956100
2025-09-03,207.5,209.9499969482422,197.8800048828125,201.5399932861328,1061700
2025-09-04,202.0,205.8800048828125,198.05999755859375,199.00999450683594,619600
2025-09-05,201.0,205.39999389648438,191.67999267578125,205.38999938964844,928400
2025-09-08,205.5,208.22000122070312,198.1999969482422,204.67999267578125,767700
2025-09-09,205.0,223.97999572753906,202.44000244140625,217.89999389648438,1521700
2025-09-10,221.52999877929688,225.5,215.75999450683594,219.3000030517578,884200
2025-09-11,218.0,232.6699981689453,214.0,224.32000732421875,1182100
2025-09-12,220.3300018310547,228.0,219.89999389648438,222.1300048828125,663200
2025-09-15,222.6999969482422,243.8000030517578,220.1300048828125,243.47999572753906,1491600
2025-09-16,243.0,243.24000549316406,226.42999267578125,233.6199951171875,1311400
2025-09-17,233.0,235.0,221.22999572753906,230.14999389648438,950800
2025-09-18,236.02000427246094,264.8800048828125,231.6199951171875,262.6499938964844,1886100
2025-09-19,260.0,301.57000732421875,260.0,294.489990234375,3395600
2025-09-22,296.8800048828125,312.5400085449219,282.55999755859375,306.2200012207031,1943700
2025-09-23,310.0,312.0,295.04998779296875,302.5899963378906,1287500
2025-09-24,303.489990234375,304.9700012207031,276.0,276.0,1618000
2025-09-25,265.25,318.0799865722656,261.55999755859375,312.19000244140625,2995300
2025-09-26,316.1499938964844,338.0,297.0,305.3500061035156,1763800
2025-09-29,316.70001220703125,322.0,299.4599914550781,315.6199951171875,1350400
2025-09-30,307.989990234375,320.760009765625,306.0,310.07000732421875,1056800
2025-10-01,303.989990234375,334.7799987792969,303.5799865722656,331.1099853515625,1124800
2025-10-02,339.9700012207031,350.0299987792969,325.5,349.0899963378906,1005800
