setup,class,ticker,signal_date,signal_idx,entry_idx,is_example,entry_close,adr,stop,outcome,reason,bars,move_adr
bf,breakout,ALRM,2020-11-24,227,228,0,73.04,3.131071428571431,70.725,WIN,exit_fired,31.0,10.526748032394195
bf,breakout,CYH,2020-11-24,227,228,0,8.54,0.8238,8.42,LOSS,stop_hit,1.0,-0.14566642388929257
bf,breakout,TSE,2020-11-27,229,230,0,34.7655,1.4319707916888709,34.66483653593051,WIN,earnings_flat_favorable,43.0,10.041755099655889
bf,breakout,TSE,2020-12-03,233,234,1,39.4692,1.3814428814659887,36.76043969394853,WIN,earnings_flat_favorable,39.0,7.004125997400655
bf,breakout,AXTI,2020-11-30,230,231,0,9.56,0.6616714285714288,9.51,LOSS,stop_hit,1.0,-0.07556620679232352
bf,breakout,AXTI,2025-10-23,1460,1461,1,6.06,0.5018571428571429,5.4,WIN,earnings_flat_favorable,3.0,2.01252490748648
bf,breakout,BIPC,2020-11-27,168,169,0,36.1558,0.9629628270341328,35.7489455363841,LOSS,stop_hit,1.0,-0.4225027718556774
bf,breakout,FIZZ,2020-11-30,230,231,0,40.8406,1.8337934651404528,39.699804346103306,WIN,exit_fired,5.0,0.05873071425290107
bf,breakout,MTSI,2020-12-01,231,232,0,44.79,1.4868642857142846,44.06,WIN,earnings_flat_favorable,37.0,7.519179865584817
bf,breakout,NVMI,2020-12-01,231,232,0,65.17,1.6220714285714297,64.36,WIN,earnings_flat_favorable,51.0,11.035272358976604
bf,breakout,CDNA,2020-12-02,232,233,0,61.35,3.4050000000000007,59.3,WIN,exit_fired,31.0,10.05873715124816
bf,breakout,CPS,2020-12-03,233,234,0,41.13,2.6882000000000006,38.69,WIN,exit_fired,2.0,-0.6844728814820337
bf,breakout,MTCH,2020-12-02,232,233,0,135.272,4.547905596252376,133.20633652062224,WIN,exit_fired,31.0,1.589698784855518
bf,breakout,DAC,2020-12-04,234,235,0,11.7507,0.9438840387662207,11.512232330300911,WIN,exit_fired,24.0,16.282508622657737
bf,breakout,DAC,2022-02-08,530,531,0,81.6314,3.798944430793758,80.77398029039233,LOSS,stop_hit,1.0,-0.22569946079166997
bf,breakout,SONO,2020-12-03,233,234,0,22.94,1.0549571428571425,22.37,LOSS,stop_hit,1.0,-0.5403063089902099
bf,breakout,VCEL,2020-12-04,234,235,0,25.5,1.1210714285714283,24.42,WIN,exit_fired,52.0,19.50812360624403
bf,breakout,ARAY,2020-12-07,235,236,0,4.38,0.2734357142857142,4.15,WIN,exit_fired,10.0,0.256001671847654
