feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
ext_slope_avgc200_off5,1.7727095,1.4720436,2.7647426,1.5222577,0.6516854,110
high_vs_xavgc50_atr14,3.582987,1.1212723,4.367697,1.2061669,0.65058136,118
ns_l_minl50_atr14,5.239324,1.8299675,6.4639664,1.8892094,0.64823,118
tir_es_ext200_roc5_pos_10,2.3109243,2.5470092,4.1134453,2.7834537,0.6475843,119
es_ext200_adx_slope_7_off3,-0.27498224,11.434649,7.9104447,12.640471,0.6475571,110
ns_l_minl50_adr14,5.624363,1.9644394,6.9597745,2.0645638,0.6468251,118
ct_es_ext50_rsi21_gt_50_5,3.1680672,1.9059205,4.0987396,1.4388944,0.6467969,119
st_es_ext50_slope1_pos_10,0.033898305,0.22388196,0.4564699,0.6540963,0.64603883,118
ct_xavgc8_rising_7,5.277311,1.5399992,6.0546217,1.2038251,0.6457008,119
ct_rsi14_gt_60_3,2.0336134,1.1344585,2.6113446,0.89492065,0.6455669,119
ct_es_ext50_rsi7_lt_30_5,0.6386555,1.0311351,0.197479,0.6834151,0.64554685,119
ct_es_ext200_roc5_pos_3,1.697479,1.1684749,2.3718488,1.0475926,0.64373285,119
ct_es_ext200_stoch14_lt_20_3,0.30252102,0.6708785,0.06092437,0.37554494,0.6433229,119
obv_slope_5,0.45123652,0.44802952,0.7716446,0.49821568,0.64311117,118
ct_es_ext50_rsi14_gt_70_3,0.27731094,0.5663493,0.92436975,1.008778,0.6414284,119
tir_h_gt_maxh65_1_5,0.53781515,0.5491123,1.3928572,1.3333665,0.6412656,119
es_ext50_adx_slope_7_off3,-2.0168974,10.191914,6.0333357,12.558968,0.6409948,118
ct_c_lt_c1_7,2.7226892,0.8725996,2.105042,0.9639418,0.6407515,119
tir_h_gt_maxh65_1_20,0.53781515,0.5491123,1.3970588,1.3430839,0.6397543,119
tir_h_gt_maxh65_1_15,0.53781515,0.5491123,1.3970588,1.3430839,0.6397543,119
tir_h_gt_maxh65_1_10,0.53781515,0.5491123,1.3970588,1.3430839,0.6397543,119
tir_h_gt_maxh65_1_30,0.53781515,0.5491123,1.3970588,1.3430839,0.6397543,119
ns_l_minl2_adr14,0.8054636,0.53027433,1.3520085,0.85448986,0.63961536,118
ext_slope_xavgc21_atr14_2b,1.1141152,0.693663,0.48817006,0.97970766,0.6389102,118
es_ext50_adx_slope_20_off3,-0.44066587,2.4958491,1.7295341,3.4106345,0.6363039,118
es_ext50_adx_slope_14_off3,-0.8503922,4.075162,2.7360678,5.652534,0.63448715,118
slope_ratio_xavgc13_xavgc21_off5,1.092294,0.4233431,1.2460053,0.2429855,0.6325946,118
es_ext200_rsi_slope_5_off3,24.54348,24.102287,10.597327,22.078152,0.6316721,110
ext_slope_xavgc13_off2,1.22459,0.7519408,0.5789821,1.0221739,0.63160276,118
spread_slope_xavgc21_avgc50_off3_adr14,0.117326476,0.26412988,0.28668386,0.26865545,0.6303888,118
ct_h_gt_maxh5_1_15,5.262712,1.9055835,6.370763,1.7579111,0.63032246,118
range_width_15,4.4502945,1.1735713,5.2303114,1.2391406,0.62948215,118
retrace_low_120,0.75921,0.1230148,0.8338368,0.11864647,0.6289846,116
slope_xavgc100_off5_adr14,0.35271835,0.14910556,0.43976563,0.13845289,0.6287141,116
ct_es_ext200_rsi14_lt_50_5,1.3277311,1.610923,0.6176471,1.1299804,0.62840384,119
high_vs_avgc50_atr14,3.8351927,1.3285844,4.6932964,1.3662187,0.6280867,118
slope_xavgc100_off5_atr14,0.32870707,0.13697483,0.40888435,0.12785153,0.6271124,116
