setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
base,long,MMSI,154,154,1,0,2020-08-12,45.27,2.0291214285714285,-4.80859375,,1,53,2.517000672352916,2.870700549498905,19,30,0,12.9625,1.0517578125
base,long,IBKR,155,155,1,0,2020-08-13,12.6411,0.28804942490364194,2.724609375,,1,46,2.5435432111276612,3.7346220733734294,16,30,0,12.9625,1.0517578125
base,long,IBKR,1269,1269,1,0,2025-01-21,48.0352,1.2369924107151706,7.80859375,1.0703125,1,58,8.80033412400386,12.394965010589047,18,53,0,12.9625,1.0517578125
base,long,NOW,157,159,3,0,2020-08-19,87.426,2.298571428571428,9.3125,,1,48,8.373896830329395,0.37240522063393183,42,13,0,12.9625,1.0517578125
base,long,NOW,161,161,1,0,2020-08-21,89.884,2.3652857142857138,9.3125,,1,46,7.098508183849729,1.401099232952827,40,11,0,12.9625,1.0517578125
base,long,AVNS,158,158,1,0,2020-08-18,32.22,1.3114214285714283,6.83984375,,1,53,5.4597247261695365,0.991290802237483,36,3,0,12.9625,1.0517578125
base,long,CALY,158,158,1,0,2020-08-18,13.8793,0.555065293777725,3.9921875,,1,57,4.105105811926224,5.455701592183174,49,50,0,12.9625,1.0517578125
base,long,ZBH,158,158,1,0,2020-08-18,128.5723,3.021779146478447,3.5703125,,1,56,3.5420425161349964,2.9581738733179535,38,26,0,12.9625,1.0517578125
base,long,ZBH,315,315,1,0,2021-04-05,151.4508,2.8352622848017655,2.35546875,,1,20,5.798054050682206,0.46622237271069256,18,2,0,12.9625,1.0517578125
base,long,DKNG,162,162,1,0,2020-08-24,35.81,2.173428571428572,31.84375,,1,57,13.05771000394373,0.6165373997633773,28,9,0,12.9625,1.0517578125
base,long,DKNG,270,270,1,0,2021-01-28,56.17,3.1653571428571428,18.75,,1,19,2.720072210312535,1.1246756177366588,7,1,0,12.9625,1.0517578125
base,long,GGB,167,167,1,0,2020-08-31,1.8516,0.0774458191906058,13.515625,,1,40,5.055325889165568,-0.1368698802696111,40,20,0,12.9625,1.0517578125
base,long,LAUR,169,169,1,0,2020-09-02,6.0016,0.19687404050450732,5.46875,,1,44,6.049963007310382,2.032078041416474,6,3,0,12.9625,1.0517578125
base,long,OEC,169,169,1,0,2020-09-02,12.2891,0.44382933786482187,18.03125,,1,44,6.642622894154852,1.7539864219535544,43,16,0,12.9625,1.0517578125
base,long,PKG,175,176,2,0,2020-09-14,90.0523,2.20850847502717,9.4296875,,1,29,5.68921766324463,1.220220803963083,25,8,0,12.9625,1.0517578125
base,long,PKG,322,322,1,0,2021-04-14,118.6576,2.046182217555564,6.4453125,,1,7,2.2342662508505047,-0.1475700224874504,6,1,0,12.9625,1.0517578125
base,long,VRT,175,175,1,0,2020-09-11,16.8638,0.6104523459497677,10.1875,,1,37,3.6393600339626397,1.0756295020261084,30,9,0,12.9625,1.0517578125
base,long,DDOG,185,185,1,0,2020-09-25,90.65,4.722492857142859,-0.77587890625,,1,31,5.818960627634613,0.8787731661093046,12,27,0,12.9625,1.0517578125
base,long,ARES,187,187,1,0,2020-09-29,33.7203,0.7644746736526657,4.66796875,,1,20,5.749524133460812,0.4388341073128094,14,3,0,12.9625,1.0517578125
base,long,ARES,307,307,1,0,2021-03-23,46.4074,1.3982672390755673,4.21875,,1,25,2.900484335594323,1.1833202228220867,8,4,0,12.9625,1.0517578125
base,long,PALL,188,188,1,0,2020-09-30,216.51,5.664285714285713,2.185546875,,0,60,3.2625472887768012,1.9825977301387125,28,21,0,12.9625,1.0517578125
base,long,AJG,189,189,1,0,2020-10-01,99.4508,1.7831371386480908,0.05413818359375,,1,19,2.6140861283456642,1.0931819300778527,8,19,0,12.9625,1.0517578125
base,long,SIG,189,189,1,0,2020-10-01,17.9806,1.0675856990078827,28.84375,,1,43,11.55431237539936,0.7579125953305901,38,1,0,12.9625,1.0517578125
base,long,SNBR,189,189,1,1,2020-10-01,49.46,2.143221428571429,21.59375,,1,8,4.852508406904158,0.611229424331198,8,1,0,12.9625,1.0517578125
base,long,HD,192,192,1,0,2020-10-06,241.8234,5.194987541865514,1.267578125,,1,29,2.7242345399731582,2.4312691372925954,8,18,0,12.9625,1.0517578125
base,long,INMD,193,193,1,0,2020-10-07,18.855,0.7829892857142856,16.515625,,1,25,4.655236114342014,1.0664258314061963,23,17,0,12.9625,1.0517578125
base,long,CSX,195,195,1,0,2020-10-09,24.3096,0.5416283493292534,12.6328125,,1,7,1.6356216673008037,0.02871632317297878,5,1,0,12.9625,1.0517578125
base,long,MHO,195,195,1,0,2020-10-09,47.51,2.305600000000001,4.68359375,,1,12,0.8370922970159607,2.8062109646079096,5,10,0,12.9625,1.0517578125
base,long,GLPI,200,200,1,0,2020-10-16,27.1904,0.8010488659034957,10.265625,,1,6,1.4142703549619635,0.9667503557862649,5,1,0,12.9625,1.0517578125
