setup,class,ticker,entry_date,direction,entry_idx,entry_close,stop,adr,mae_peak_bar,mae_peak_adr,outcome,outcome_bar,first_past_be_bar,had_earnings
bf,breakout,BE,2025-07-23,long,1395,26.89,25.74,1.4155714285714291,1,-2.12634978302553,WIN,5,1.0,1
bf,breakout,BIOA,2025-11-17,long,286,8.31,7.84,0.4373714285714287,1,0.48014110269140503,WIN,38,4.0,1
bf,breakout,BLDP,2021-01-06,long,255,24.305,23.2,1.4028428571428566,1,-1.3151865090275865,WIN,23,1.0,1
bf,breakout,DAC,2020-12-04,long,234,11.5122,10.805022000000001,1.0084929443914434,1,-3.2058033812629004e-05,WIN,25,1.0,1
bf,breakout,EH,2021-01-05,long,254,25.5,21.02,2.9139285714285705,1,0.7549944846182131,WIN,14,5.0,1
bf,breakout,EOSE,2025-09-12,long,1324,8.2,7.171,0.5892142857142859,2,0.4582373621044966,WIN,22,1.0,1
bf,breakout,EOSE,2025-09-18,long,1328,9.0,8.44,0.6292142857142858,1,-0.270178226813486,WIN,18,1.0,1
bf,breakout,EQX,2025-08-22,long,1417,8.0125,7.762733790523691,0.31627563290024974,1,-0.12621526203310124,WIN,45,1.0,0
bf,breakout,GDXU,2025-08-21,long,1182,98.31,92.41,5.826785714285713,1,0.7396874042292374,WIN,37,2.0,0
bf,breakout,HROW,2024-09-10,long,1179,41.06,39.42,2.108571428571429,1,0.355691056910569,WIN,30,2.0,1
bf,breakout,HUT,2025-10-01,long,1444,36.53,34.5445,2.508664285714287,1,-0.06377896034599947,WIN,9,1.0,1
bf,breakout,HYMC,2025-12-11,long,1494,12.36,11.45,0.8824285714285718,1,0.04532944795207931,WIN,8,2.0,1
bf,breakout,IONQ,2024-11-07,long,968,22.11,16.29,1.8917857142857144,2,0.4281668869171222,WIN,40,4.0,1
bf,breakout,IREN,2024-06-03,long,637,8.0,7.96,0.7568571428571429,1,-0.02906757266893199,WIN,11,1.0,1
bf,breakout,IREN,2025-06-23,long,900,10.66,9.825,0.6608571428571433,1,-0.3934284479031555,WIN,20,1.0,1
bf,breakout,IREN,2025-06-24,long,901,11.54,10.92,0.6865714285714289,2,-0.08739076154806559,WIN,19,1.0,1
bf,breakout,IZEA,2021-01-08,long,257,9.0,7.28,1.0965142857142853,1,0.6894575016936791,WIN,11,3.0,1
bf,breakout,JD,2020-05-29,long,102,47.6843,44.81428967421314,2.22132441076948,1,0.3753469528182895,WIN,54,2.0,1
bf,breakout,KTOS,2025-09-11,long,1430,67.67,65.6,2.8142857142857136,1,0.007106598984770162,WIN,18,2.0,1
bf,breakout,MSTR,2024-02-26,long,1043,79.648,68.794,5.221904859546377,1,-0.8671165258252836,WIN,21,1.0,1
bf,breakout,MU,2025-10-01,long,1444,181.8861,165.26022261872083,5.822266379064351,7,0.4163431390754177,WIN,34,2.0,1
bf,breakout,ONDS,2025-08-22,long,1216,4.489999771118164,3.799999952316284,0.48928573727607727,1,-0.0817527174949646,WIN,36,1.0,1
bf,breakout,OSCR,2024-01-24,long,728,11.69,11.38,0.7491428571428572,1,0.22025171624713843,WIN,9,2.0,1
bf,breakout,QBTS,2024-11-21,long,992,1.97,1.71,0.2537142857142857,1,0.0,WIN,22,1.0,1
bf,breakout,QUBT,2024-12-16,long,1243,11.08,6.83,1.629785714285714,1,-0.932637945391594,WIN,1,1.0,1
bf,breakout,QXO,2025-06-06,long,1364,19.0,17.75,0.9400000000000003,1,-0.05319148936170287,WIN,11,1.0,1
bf,breakout,REAL,2024-11-13,long,1225,4.14,3.83,0.24637142857142846,2,1.217673663458193,WIN,32,5.0,1
bf,breakout,RGTI,2024-12-06,long,913,4.38,3.31,0.4889285714285715,1,0.20452885317750108,WIN,20,3.0,1
