setup,class,alt_rank,expression,direction,threshold,n,wr,lr,ber,mean_w,mean_l,expectancy_1adr,expectancy_actual
dtss,fade,0,w_ext_slope_xavgc50_off2,>=,0.35498,1034,0.41295938104448743,0.5560928433268859,0.030947775628626693,2.845907292695433,-0.46500296208312725,0.6191512707746132,0.9166592947612687
dtss,fade,9,w_st_c_lt_c1_10,>=,2.0,1034,0.39748549323017407,0.5647969052224371,0.037717601547388784,2.8063113544436042,-0.46521818890512867,0.5506711476560169,0.8527142595316501
dtss,fade,5,w_tir_c_gt_c1_15,>=,2.0,1034,0.3955512572533849,0.5667311411992263,0.037717601547388784,2.82206426568926,-0.4675696479047387,0.549539927144011,0.8512847881960643
dtss,fade,2,w_consecutive_up_days,>=,2.0,1034,0.3955512572533849,0.5667311411992263,0.037717601547388784,2.82206426568926,-0.4675696479047387,0.549539927144011,0.8512847881960643
dtss,fade,4,w_tir_c_gt_c1_10,>=,2.0,1034,0.3955512572533849,0.5667311411992263,0.037717601547388784,2.82206426568926,-0.4675696479047387,0.549539927144011,0.8512847881960643
dtss,fade,3,w_tir_c_gt_c1_5,>=,2.0,1034,0.3955512572533849,0.5667311411992263,0.037717601547388784,2.82206426568926,-0.4675696479047387,0.549539927144011,0.8512847881960643
dtss,fade,7,w_tir_c_gt_c1_30,>=,2.0,1034,0.3955512572533849,0.5667311411992263,0.037717601547388784,2.82206426568926,-0.4675696479047387,0.549539927144011,0.8512847881960643
dtss,fade,6,w_tir_c_gt_c1_20,>=,2.0,1034,0.3955512572533849,0.5667311411992263,0.037717601547388784,2.82206426568926,-0.4675696479047387,0.549539927144011,0.8512847881960643
dtss,fade,8,w_st_c_lt_c1_5,>=,2.0,1034,0.38878143133462284,0.5725338491295938,0.03868471953578337,2.8735410758619087,-0.4701580683290445,0.544645563342831,0.8479980039126624
dtss,fade,1,w_es_ext50_ch_pos_10,>=,1.094727,1034,0.32591876208897486,0.6034816247582205,0.07059961315280464,3.2225434954562813,-0.4893834602874638,0.44680576205876854,0.7549534610729103
