setup,ticker,entry_date,cluster_size,offset_from_rm,is_entry_max_high_in_cluster_to_entry,is_entry_max_close_in_cluster_to_entry,new_20d_high,new_50d_high,new_100d_high,new_20d_close,new_50d_close,dist_to_pre20_high_adr,dist_to_pre50_high_adr,dist_to_pre100_high_adr,entry_rng_adr,close_pos,adr
htf,AFG,2021-02-04,1,1,True,True,True,True,True,True,True,0.51955195993127,0.51955195993127,0.51955195993127,2.1844621268676954,0.5674547983310156,1.9567505835511665
htf,AR,2020-12-17,1,3,False,True,False,False,False,False,False,-0.4674868189806687,-0.4674868189806687,-0.4674868189806687,1.1810193321616858,0.8125000000000001,0.40642857142857153
htf,ASTS,2024-05-28,1,1,True,True,False,False,False,True,True,-0.6983256056500882,-0.6983256056500882,-0.8456088242962894,1.222069809887655,0.8831168831168832,0.6300785714285715
htf,BB,2024-12-20,1,1,True,True,True,True,True,True,True,1.9967585089141002,1.9967585089141002,1.9967585089141002,3.2674230145867105,0.9861111111111108,0.22035714285714286
htf,CLNE,2020-11-20,1,2,True,True,True,True,False,True,True,0.28048617603846693,0.28048617603846693,-1.2621877921731002,1.5894216642179795,0.970588235294117,0.2139142857142857
htf,CR,2023-10-31,1,1,True,True,True,True,True,True,True,0.7333115401611962,0.7333115401611962,0.7119642008489897,1.2447462589021308,0.9405940594059388,3.2015002844158573
htf,EOSE,2025-09-18,2,1,True,True,True,True,True,True,True,0.7231240776478601,0.7231240776478601,0.7231240776478601,1.2873197865819055,0.6913580246913582,0.6292142857142858
htf,EQX,2025-08-22,1,1,True,True,False,False,False,True,True,-0.4418010953651349,-0.4418010953651349,-0.4418010953651349,1.0108295261257327,0.781249999999998,0.31627563290024974
htf,FORM,2026-01-08,1,1,True,True,False,False,False,True,True,-1.034347399411187,-1.034347399411187,-1.034347399411187,2.002493170304753,0.9774834437086072,1.8851500000000005
htf,FTDR,2024-08-06,1,1,True,True,False,False,False,True,True,-2.064645157495368,-2.064645157495368,-2.064645157495368,1.2886091585541608,0.6824302734285834,1.700049999999999
htf,GME,2021-01-22,2,1,True,True,True,True,True,True,True,2.69119242528849,2.69119242528849,2.69119242528849,4.755498569878686,0.6588269454123113,1.8105357142857146
htf,HTT,2021-01-12,1,1,True,True,True,True,True,True,True,1.8400000000000003,1.8400000000000003,1.0399999999999994,3.04,0.9210526315789472,0.12499999999999997
htf,LMND,2024-11-05,2,0,False,True,False,False,False,True,True,-0.7369505416756288,-0.7369505416756288,-0.7369505416756288,1.2678718996569973,0.9687499999999996,1.2619571428571421
htf,LMND,2024-11-06,2,1,True,True,True,True,True,True,True,2.320190261609713,2.320190261609713,2.320190261609713,2.183502315684068,0.9630818619582658,1.4266071428571423
htf,MOD,2023-06-02,1,1,True,True,True,True,True,True,True,1.5425055928411648,1.5425055928411648,1.5425055928411648,2.466442953020133,0.9523809523809528,1.2771428571428574
htf,NHI,2024-03-04,3,-1,True,True,False,False,False,False,False,-0.7770437363515729,-0.7770437363515729,-0.7770437363515729,0.7900090863011542,0.9180327868852436,1.38081880124922
htf,OGI,2021-02-08,1,4,True,True,True,True,True,True,True,4.397315436241611,4.397315436241611,4.397315436241611,3.344966442953021,0.9213483146067413,1.0642857142857143
htf,OSCR,2024-01-24,1,1,True,True,False,False,False,True,True,-0.5673150266971786,-0.5673150266971786,-0.5673150266971786,0.8810068649885561,0.46969696969696895,0.7491428571428572
htf,PL,2025-09-11,1,1,True,True,True,True,True,True,True,-0.06014697569248204,-0.06014697569248204,-0.06014697569248204,1.50367439231204,0.5684210526315785,0.6317857142857142
htf,PRTA,2021-06-07,1,2,True,True,True,True,True,True,True,2.7075066654983777,2.7075066654983777,2.7075066654983777,4.096308628221658,0.933689839572192,2.282542857142857
htf,QUBT,2024-11-20,1,1,True,True,False,False,False,False,False,-1.846001201075747,-1.846001201075747,-1.846001201075747,1.7363377633880779,0.8736842105263161,0.5471285714285713
htf,REAL,2024-11-13,1,1,True,True,True,True,True,True,True,0.4058912211527298,0.4058912211527298,0.4058912211527298,1.7859213730720154,0.7045454545454545,0.24637142857142846
htf,RHP,2020-11-13,2,1,False,True,False,False,False,False,False,-0.5350123416425497,-0.5350123416425497,-0.5350123416425497,1.2215591411827367,0.9240506329113918,2.7808613190326823
htf,RR,2024-12-23,1,1,True,True,True,True,False,True,True,1.0704533042053523,1.0704533042053523,-0.3058438012015295,2.351174221736756,0.9756097560975607,0.26157142857142857
htf,SOUN,2024-02-26,1,1,True,True,True,True,True,True,True,2.8221335905890497,2.8221335905890497,2.8221335905890497,4.25335848295921,0.90521327014218,0.49607857142857137
htf,SOUN,2024-11-29,1,1,True,True,True,True,True,True,True,0.5327567567567584,0.5327567567567584,0.5327567567567584,1.9675675675675666,0.8646153846153852,0.8258928571428571
htf,XPEV,2020-11-12,1,1,True,True,True,True,,True,True,1.3442261795483745,1.3442261795483745,,3.3335781163943454,0.7039321511179643,3.8907142857142856
bf,AA,2025-12-11,1,1,True,True,True,True,True,True,True,1.3690726785534888,1.3690726785534888,1.3690726785534888,1.7893768335569238,0.9194630872483234,1.662662667515279
bf,AMPX,2025-07-02,2,0,True,True,True,True,True,True,True,0.07970093174184556,0.07970093174184556,0.07970093174184556,1.248647930622236,0.9787234042553196,0.37640714285714283
bf,ANF,2023-11-01,2,0,True,True,False,False,False,False,False,-1.204651574778237,-1.204651574778237,-1.204651574778237,0.8547711541625015,0.9948186528497419,2.257914285714285
bf,ANF,2023-11-02,2,1,True,True,False,False,False,True,True,-0.688789283512183,-0.688789283512183,-0.688789283512183,0.5500921686958694,0.8781201723717414,2.235807142857142
bf,APLD,2025-10-01,1,1,True,True,False,False,False,True,True,-0.34759286046028137,-0.34759286046028137,-0.34759286046028137,1.5670154354132046,0.9818184592507102,1.754928469657898
bf,AXON,2021-02-04,1,3,True,True,False,False,False,False,False,-0.6328686100549213,-0.6328686100549213,-0.6328686100549213,1.128517110266159,0.9758909853249487,8.453571428571426
bf,AXTI,2025-10-24,1,1,True,True,True,True,True,True,True,0.7771135781383426,0.7771135781383426,0.7771135781383426,1.4545972103615135,0.9041095890410954,0.5018571428571429
bf,BE,2025-07-23,1,3,True,True,False,False,False,False,False,-1.801392673327278,-1.801392673327278,-1.801392673327278,0.840649914219397,0.9663865546218495,1.4155714285714291
bf,BIOA,2025-11-17,2,1,True,True,False,False,False,True,True,-0.6630519989547927,-0.6630519989547927,-0.6630519989547927,1.177488894695585,0.9126213592233012,0.4373714285714287
bf,BLDP,2021-01-06,1,3,True,True,True,True,True,True,True,-0.21028727380116016,-0.21028727380116016,-0.21028727380116016,1.5254737828287468,0.516355140186916,1.4028428571428566
bf,DAC,2020-12-04,2,0,True,True,False,False,False,False,False,-1.5900444652607992,-1.5900444652607992,-1.5900444652607992,0.847990067512122,0.8269230769230769,1.0084929443914434
bf,EH,2021-01-05,1,1,True,True,False,False,False,False,False,-1.2423091065081513,-1.2423091065081513,-1.2423091065081513,1.5374433141316344,1.0,2.9139285714285705
bf,EOSE,2025-09-12,1,3,True,True,True,True,True,True,True,0.1951751727482092,0.1951751727482092,0.1951751727482092,1.8142805188507691,0.9625818521983153,0.5892142857142859
bf,EOSE,2025-09-18,1,5,True,True,True,True,True,True,True,1.4541945737314095,1.4541945737314095,1.4541945737314095,1.2873197865819055,0.6913580246913582,0.6292142857142858
bf,EQX,2025-08-22,1,1,True,True,False,False,False,True,True,-0.4418010953651349,-0.4418010953651349,-0.4418010953651349,1.0108295261257327,0.781249999999998,0.31627563290024974
bf,GDXU,2025-08-21,1,1,True,True,True,True,True,True,True,0.2630953110634388,0.2630953110634388,0.2630953110634388,1.3446521605884172,0.7530312699425654,5.826785714285713
bf,HROW,2024-09-10,1,1,True,True,False,False,False,False,False,-1.7737127371273684,-1.7737127371273684,-1.7737127371273684,1.0481029810298106,0.7420814479638008,2.108571428571429
bf,HUT,2025-10-01,2,0,True,True,False,False,False,False,False,-1.1719383963577643,-1.1719383963577643,-1.1719383963577643,1.1581860580331602,0.6833591464463946,2.508664285714287
bf,HYMC,2025-12-11,2,5,True,True,True,True,True,True,True,-0.1586530678322816,-0.1586530678322816,-0.1586530678322816,1.7565161081431115,0.5870967741935482,0.8824285714285718
bf,IONQ,2024-11-07,1,1,True,True,True,True,True,True,True,2.066830281291297,2.066830281291297,2.066830281291297,3.3460449310930724,0.9194312796208528,1.8917857142857144
bf,IREN,2024-06-03,1,1,True,True,True,True,True,True,True,-0.21140052850132143,-0.21140052850132143,-0.916949792374482,1.4930162325405811,0.03539823008849561,0.7568571428571429
bf,IREN,2025-06-23,3,0,False,True,False,False,False,True,True,0.09079118028534441,0.09079118028534441,-4.486597492434066,1.5056204063986172,0.8391959798994975,0.6608571428571433
bf,IREN,2025-06-24,3,1,True,True,True,True,False,True,True,1.3691219309196823,1.3691219309196823,-3.0368289637952555,1.0195588847274224,0.8857142857142855,0.6865714285714289
bf,IZEA,2021-01-08,1,5,True,True,True,True,True,True,True,0.7295846578769095,0.7295846578769095,0.7295846578769095,1.8969201104799625,0.8269230769230771,1.0965142857142853
bf,JD,2020-05-29,1,1,True,True,False,False,False,False,False,-0.8574175375809506,-0.8574175375809506,-0.8574175375809506,1.292026644947673,1.0,2.22132441076948
bf,KTOS,2025-09-11,1,1,True,True,False,False,False,False,False,-1.7873096446700516,-1.7873096446700516,-1.7873096446700516,1.2560913705583798,0.5855728429985859,2.8142857142857136
bf,MSTR,2024-02-26,1,1,True,True,True,True,True,True,True,-0.197246029505309,-0.197246029505309,-0.197246029505309,2.3365017801300736,0.8895999422997648,5.221904859546377
bf,MU,2025-10-01,1,1,True,True,True,True,True,True,True,2.0066172654695076,2.0066172654695076,2.0066172654695076,2.8967293094835127,0.9857904085257556,5.822266379064351
bf,ONDS,2025-08-22,1,1,True,True,True,True,True,True,True,0.2043793648481369,0.2043793648481369,0.2043793648481369,1.451095387570918,0.9718303521508201,0.48928573727607727
bf,OSCR,2024-01-24,1,1,True,True,False,False,False,True,True,-0.5673150266971786,-0.5673150266971786,-0.5673150266971786,0.8810068649885561,0.46969696969696895,0.7491428571428572
bf,QBTS,2024-11-21,1,1,True,True,False,False,False,True,True,-0.7094594594594592,-0.7094594594594592,-0.7094594594594592,1.3006756756756759,0.7878787878787877,0.2537142857142857
bf,QUBT,2024-12-16,1,1,True,True,True,True,True,True,True,1.1535258798264458,1.1535258798264458,1.1535258798264458,3.3439978963053867,0.779816513761468,1.629785714285714
bf,QXO,2025-06-06,1,5,True,True,True,True,True,True,True,-0.021276595744680393,-0.021276595744680393,-0.021276595744680393,1.808510638297871,0.7352941176470591,0.9400000000000003
