feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry,class
adx_7_slope_5,-0.2961674,16.515991,16.91236,15.355882,1.1206472,118,breakout
low_vs_xavgc50_adr14,2.160117,1.0288314,3.4184747,1.1294665,1.1141169,118,breakout
ct_h_gt_maxh20_1_5,1.1680672,1.0760827,2.4684873,1.1679745,1.1133977,119,breakout
ext_slope_xavgc21_adr14_1b,1.1175959,0.6636028,0.11833103,0.90151167,1.1084325,118,breakout
ns_l_minl5_adr14,1.4279604,0.973169,2.6883867,1.1378716,1.1077051,118,breakout
es_ext200_rsi_slope_28_off1,5.257213,2.8310497,0.7191603,4.105926,1.1052446,110,breakout
adx_slope_10_off5,-0.49155232,13.242786,12.218222,11.506071,1.1046146,118,breakout
adx_slope_20_off3,1.2201651,4.14894,5.2646246,3.6840687,1.0978241,118,breakout
ct_h_gt_maxh50_1_3,0.64705884,0.61875015,1.6659663,0.93358755,1.0913893,119,breakout
ext_slope_xavgc21_off1,1.2208387,0.738925,0.24994516,0.89017975,1.0906713,118,breakout
ct_l_gt_xavgc8_5,2.067227,1.696113,3.4516807,1.2696989,1.0903796,119,breakout
retrace_low_20,0.63004005,0.124582104,0.7552834,0.11514162,1.0877331,118,breakout
es_ext50_tl_dev_7,0.64653254,0.51629364,0.023776963,0.57561845,1.0818895,117,breakout
slope_xavgc50_off3_adr14,0.3245878,0.13093044,0.4636152,0.12914796,1.0764972,118,breakout
ct_c_gt_maxc10_1_5,1.4873949,1.088192,2.722689,1.1511962,1.0730525,119,breakout
slope_xavgc8_off5_atr14,0.8759211,0.7109336,1.5512767,0.6333275,1.0663608,118,breakout
ns_l_minl15_atr14,2.77585,1.06585,3.954116,1.1061779,1.0651686,118,breakout
ns_l_minl7_atr14,1.6773723,0.99493223,2.8328211,1.0924721,1.057646,118,breakout
retrace_low_30,0.6712998,0.11577338,0.78324324,0.1059201,1.0568666,118,breakout
slope_xavgc9_off5_atr14,0.8497869,0.6675585,1.4735779,0.5902737,1.0567826,118,breakout
slope_xavgc50_off2_atr14,0.22025363,0.07726096,0.30573887,0.08128522,1.0516701,118,breakout
