setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
bf,long,CLF,198,199,2,0,2020-10-15,7.49,0.39464285714285724,,51.78125,1,5,2.2045248868778256,0.30407239819004545,5,1,0,1.27802734375,54.36875
bf,long,CLF,224,224,1,0,2020-11-19,8.89,0.3843357142857143,,66.75,0,60,25.706692437786902,-0.6764919062575496,35,1,0,1.27802734375,54.36875
bf,long,LNW,198,198,1,0,2020-10-14,34.645,2.224642857142855,,41.03125,1,14,0.8113661903997438,2.0385294589821834,2,12,0,1.27802734375,54.36875
bf,long,BYD,201,201,1,0,2020-10-19,32.7688,1.2886765710596488,,38.46875,1,4,0.5039847973974743,0.570676623834338,4,1,0,1.27802734375,54.36875
bf,long,NIO,207,207,1,0,2020-10-27,28.44,1.5367857142857138,,99.0,1,14,16.762258889147112,1.2558679990704162,13,1,0,1.27802734375,54.36875
bf,long,TTD,207,207,1,0,2020-10-27,61.336,2.4301450000000004,,69.875,1,6,1.423375971392656,2.876371574535673,6,4,0,1.27802734375,54.36875
bf,long,CMBM,209,209,1,0,2020-10-29,22.34,2.1799999999999997,,50.9375,1,4,1.1972477064220182,1.0596330275229353,2,4,0,1.27802734375,54.36875
bf,long,REPL,217,217,1,0,2020-11-10,44.34,3.9539142857142844,,32.8125,1,57,2.658125401952496,2.2231134427366754,7,52,0,1.27802734375,54.36875
bf,long,SNAP,220,220,1,0,2020-11-13,40.43,2.432885714285714,,66.5,1,54,8.257683409472587,0.7891862690984259,54,2,0,1.27802734375,54.36875
bf,long,AVNS,221,221,1,0,2020-11-16,42.64,2.0117714285714285,,44.6875,0,60,4.230102823382377,0.775436005226383,58,3,0,1.27802734375,54.36875
bf,long,QCLN,221,221,1,0,2020-11-16,55.3471,2.0640978886038197,,67.0,0,60,15.865996349315182,0.37898756076281054,58,1,0,1.27802734375,54.36875
bf,long,BL,223,223,1,0,2020-11-18,107.3,4.954635714285714,,49.59375,1,56,9.548633386626381,0.00807324742052376,54,1,0,1.27802734375,54.36875
bf,long,SOXL,224,224,1,0,2020-11-19,23.6534,1.427716804216056,,54.0625,0,60,15.936701781651385,0.3296110960509351,58,1,0,1.27802734375,54.36875
bf,long,TROX,224,225,2,0,2020-11-20,9.7141,0.47552950887444595,,50.28125,1,57,12.157931073006338,0.0852731111561014,57,4,0,1.27802734375,54.36875
bf,long,SAIA,226,226,1,0,2020-11-23,169.26,5.740442857142857,,53.5625,1,50,5.977761795381641,0.07229407387682743,39,1,0,1.27802734375,54.36875
bf,long,ALRM,227,227,1,0,2020-11-24,71.23,3.1171428571428597,,59.03125,0,60,12.010999083409706,0.1620073327222761,33,1,0,1.27802734375,54.36875
