feature,mean_winner,mean_loser,std_winner,std_loser,n_winner,n_loser,sep_z
w_es_ext50_pullback_50,3.630671574519231,2.0993080725217,1.8000238936793298,1.4735230698239905,91,1253,0.9309797328429725
w_es_ext50_pullback_65,3.8145228794642856,2.2651234335263823,1.8663773759853846,1.5615148777119845,91,1253,0.9004413735701805
w_es_ext50_pullback_20,2.5848911830357144,1.4904576984292872,1.4045275791671665,1.077131978509618,91,1253,0.874440652528951
w_es_ext50_pullback_30,2.8223622081043955,1.6604049580628075,1.5313862053976675,1.1579085807124074,91,1253,0.8559208579598727
m_st_c_upper_half_50,1.8979591836734695,1.0100200400801602,1.1409955075719271,0.9515891377836286,49,499,0.8451978913703933
m_stoch_7,57.69327445652174,70.2575524911903,16.969618212645887,12.492488736888495,92,1277,0.8432304350318468
w_ns_c_minl120_pct,71.00121753246754,55.52412194931164,18.337698528835556,18.48706401143457,77,799,0.8405739617553188
w_ns_c_minl126_pct,71.48083333333334,56.0121449775353,18.284912353565975,18.606102186727664,75,779,0.838583720225777
w_ns_l_minl120_pct,67.73092532467533,52.878803582603254,17.74039114846219,17.965848868882144,77,799,0.8318896455948827
w_es_ext50_peak_50,0.32791372445913464,0.537778222836786,0.24410534052635482,0.2614352871158101,91,1253,0.829770299220739
m_ns_c_minl30_pct,70.4075,54.376039647932814,20.13250728833717,18.554036445762023,75,774,0.8280984097892499
w_es_ext50_peak_20,0.38677391639122594,0.6017555975476362,0.265308961833083,0.256213711421671,91,1253,0.8243131379099566
w_ns_l_minl126_pct,68.13666666666667,53.41157533697047,17.6523388496748,18.07939810594697,75,779,0.8241435198403403
w_es_ext50_pullback_120,4.012249957074176,2.5842810818793196,1.8140066679462443,1.65009371288986,91,1253,0.823517114268841
m_stoch_5,52.65896739130435,65.06564151820673,16.627141571619426,13.396491359074588,92,1277,0.8217171055738692
w_nr_ratio_maxh15,0.838790230129076,0.9230893940877055,0.12988081510926872,0.06707565699494822,92,1277,0.8155575289309529
w_es_ext50_pullback_15,2.2420050652472527,1.3297724263342685,1.2245393326909215,1.0080761759526597,91,1253,0.8133733862844038
