setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_max,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
htf,long,AAPL,154,154,1,0,2020-08-12,109.7177,2.9061040860525753,,,1,54,8.341961594613199,3.310705749069016,15,27,0,1.0595703125,1.325390625
htf,long,HWM,154,154,1,0,2020-08-12,17.8356,0.7429755815739135,,,0,60,1.4198941768882565,2.5743782562779716,51,30,0,1.0595703125,1.325390625
htf,long,HWM,220,220,1,0,2020-11-13,22.0456,1.1141104337271588,,,0,60,5.964638779086883,-0.28319779570835685,39,4,0,1.0595703125,1.325390625
htf,long,HWM,222,223,2,0,2020-11-18,22.8639,1.161294762839278,,,0,60,5.017646237332394,0.43295328376708875,36,1,0,1.0595703125,1.325390625
htf,long,JOYY,160,160,1,0,2020-08-20,67.1021,3.4460501236060255,,,1,60,3.728655161740796,3.059868250998291,56,15,0,1.0595703125,1.325390625
htf,long,URBN,166,166,1,0,2020-08-28,23.81,1.1507142857142854,,,1,59,7.864680322780885,3.2849162011173174,50,18,0,1.0595703125,1.325390625
htf,long,DKS,170,170,1,0,2020-09-03,46.2962,1.9178593812233256,,,1,56,3.9057744676074364,1.5933894864129645,30,50,0,1.0595703125,1.325390625
htf,long,VFC,171,171,1,0,2020-09-04,56.6577,1.7334037206998307,,,1,28,5.17682733903289,0.4974830249714926,25,2,0,1.0595703125,1.325390625
htf,long,COO,172,172,1,0,2020-09-08,79.5112,2.066313858347326,,,1,60,6.45646574090616,0.47283215742276546,44,38,0,1.0595703125,1.325390625
htf,long,LYB,174,174,1,0,2020-09-10,49.2484,1.806178415356261,,,1,35,3.9473894126355784,1.6104731188145291,21,16,0,1.0595703125,1.325390625
htf,long,ARKQ,175,175,1,0,2020-09-11,56.017,1.8981522719511144,,,0,60,7.752539254858573,2.3102407544549086,60,9,0,1.0595703125,1.325390625
htf,long,CHRW,175,175,1,0,2020-09-11,86.8427,1.6212904923485962,,,1,31,4.392140144580687,0.30946512491949574,19,31,0,1.0595703125,1.325390625
htf,long,J,176,176,1,0,2020-09-14,73.7179,1.5069558787347137,,,1,50,7.472700194783375,3.0592826274608083,47,8,0,1.0595703125,1.325390625
