setup,class,ticker,entry_date,direction,entry_idx,entry_close,stop,adr,mae_peak_bar,mae_peak_adr,outcome,outcome_bar,first_past_be_bar,had_earnings
dtss,fade,PACB,2026-01-23,short,1522,2.58,2.73,0.2005357142857143,3,0.09923419412288416,WIN,13,1.0,1
dtss,fade,PDS,2024-07-31,short,1151,76.85,79.07,2.5814285714285723,1,0.3099059214167171,WIN,9,2.0,1
dtss,fade,PNR,2024-05-15,short,1099,83.5779,84.32448208744711,1.4819373489364014,3,0.07954686965341881,WIN,32,1.0,1
dtss,fade,PR,2022-06-08,short,613,8.1918,8.48030522945571,0.44531013053822355,1,0.5497503677671488,WIN,27,3.0,1
dtss,fade,PRKS,2022-04-21,short,580,70.43,76.57,3.119285714285714,3,1.5548431417449031,WIN,9,6.0,1
dtss,fade,PSIX,2025-09-24,short,1439,110.87,119.7,6.548478571428572,1,0.32221224777401936,WIN,30,4.0,1
dtss,fade,REPX,2025-01-21,short,1269,34.1548,35.07007765928356,1.0530365263289094,1,0.3947304591555982,WIN,1,,1
dtss,fade,ROOT,2024-05-01,short,881,69.91,86.57,6.4849999999999985,1,-0.43176561295296806,WIN,4,1.0,1
dtss,fade,SERV,2025-01-06,short,208,22.89,24.35,2.84225,26,0.07388512622042426,WIN,39,1.0,1
dtss,fade,SFM,2025-06-03,short,1361,175.21,182.0,5.454835714285715,1,-0.031183340600807265,WIN,38,1.0,1
dtss,fade,SLS,2025-10-20,short,1457,2.01,2.48,0.1577785714285714,7,0.6971795916519555,WIN,16,1.0,1
dtss,fade,SMCI,2022-06-06,short,611,5.499,5.765,0.2421428571428573,1,0.776401179941005,WIN,20,3.0,1
dtss,fade,SOUN,2023-06-29,short,293,4.5,5.11,0.4972928571428573,2,0.4995044598612489,WIN,26,3.0,1
dtss,fade,TJX,2022-01-05,short,507,70.6122,72.67023457545915,1.256595359599277,1,0.6356585959633653,WIN,13,3.0,1
dtss,fade,TRNS,2024-07-24,short,1146,140.34,147.115,4.8576999999999995,1,0.6309570372810174,WIN,2,,1
dtss,fade,UTSL,2024-11-27,short,1235,40.6418,41.40091408045977,1.4826077985266228,1,0.31509375501529757,WIN,26,3.0,0
dtss,fade,VCTR,2025-02-10,short,1283,67.4774,69.29981048871106,2.1308984964802167,5,-0.06163257021561747,WIN,40,1.0,1
dtss,fade,VRTX,2024-11-11,short,1223,501.72,518.35,12.320671428571432,1,0.5125532351553194,WIN,11,2.0,1
dtss,fade,WAL,2022-01-12,short,512,111.0118,113.64064383808586,3.2607096113946312,1,0.5579468012058822,WIN,9,4.0,1
dtss,fade,WGO,2024-04-01,short,1066,68.4266,69.5449581101497,1.9094651501862339,1,-0.16733506171549456,WIN,55,1.0,1
dtss,fade,WHD,2024-11-25,short,1233,68.3352,68.81705707296014,2.2276959742790594,1,0.03970232785218382,WIN,20,2.0,1
dtss,fade,WING,2024-09-24,short,1189,424.1215,431.076591833388,11.717200430280908,2,0.09158375793258387,WIN,25,4.0,1
dtss,fade,ZIM,2024-07-02,short,861,13.387,14.098443755535875,0.5629294654769242,1,0.8319618005886583,WIN,14,2.0,1
dtss,fade,ZVRA,2024-02-20,short,1039,6.89,7.28,0.3207142857142858,8,0.6547884187082402,WIN,26,3.0,1
