setup,class,ticker,entry_date,direction,entry_idx,entry_close,adr,stop,stop_distance_adr,outcome,reason,bars,move_adr,had_earnings,status
base,breakout,SKY,2021-11-03,long,464.0,70.1,2.386428571428571,69.06,0.43579766536964654,WIN,exit_fired,23.0,5.7366058066447225,1.0,done
base,breakout,SNBR,2020-10-02,long,190.0,51.79,2.1623071428571436,48.15,1.6833871228813135,WIN,earnings_flat_favorable,7.0,3.621132190154033,1.0,done
base,breakout,SNDK,2025-08-22,long,131.0,46.37,2.180864285714286,45.63,0.33931501599955216,WIN,earnings_flat_favorable,52.0,78.0103563135192,1.0,done
base,breakout,SNDK,2026-01-02,long,222.0,275.24,17.758421428571427,244.0,1.759165369830572,WIN,earnings_flat_favorable,17.0,14.212411897936553,1.0,done
base,breakout,SOUN,2024-11-21,long,646.0,6.98,0.6526785714285716,6.38,0.9192886456908351,WIN,exit_fired,26.0,19.703419972640216,1.0,done
base,breakout,STRL,2025-09-10,long,1429.0,301.13,11.974999999999998,291.0,0.8459290187891438,WIN,exit_fired,14.0,3.2192066805845525,1.0,done
base,breakout,TSLA,2025-09-11,long,1430.0,368.81,12.368571428571418,347.6,1.7148302148302146,WIN,earnings_flat_favorable,28.0,5.965927465927473,1.0,done
base,breakout,VITL,2024-02-20,long,893.0,16.09,0.4567857142857144,15.44,1.4229867083659113,WIN,earnings_flat_favorable,11.0,6.370602032838153,1.0,done
base,breakout,WLDN,2025-05-09,long,1345.0,42.4,1.3528571428571428,40.57,1.3526927138331561,WIN,earnings_flat_favorable,60.0,33.721224920802534,1.0,done
bf,breakout,AA,2025-12-11,long,1494.0,47.1628,1.662662667515279,44.42727773073666,1.6452659476328784,WIN,earnings_flat_favorable,26.0,9.98566956748455,1.0,done
bf,breakout,AMPX,2025-07-02,long,700.0,4.38,0.37640714285714283,3.92,1.222080953374955,WIN,exit_fired,23.0,10.467389035428964,1.0,done
bf,breakout,ANF,2023-11-01,long,965.0,62.13,2.257914285714285,60.21,0.8503422880787589,WIN,earnings_flat_favorable,13.0,4.49972794108343,1.0,done
bf,breakout,ANF,2023-11-02,long,966.0,63.31,2.235807142857142,62.23,0.48304702999556187,WIN,earnings_flat_favorable,12.0,4.016446601259376,1.0,done
bf,breakout,APLD,2025-10-01,long,1272.0,25.0,1.754928469657898,22.299999237060547,1.5385246804194734,WIN,earnings_flat_favorable,5.0,1.6752822607241278,1.0,done
bf,breakout,AXON,2021-02-04,long,275.0,175.34,8.453571428571426,166.03,1.1013096746937057,WIN,exit_fired,8.0,0.3596113223489641,1.0,done
bf,breakout,AXTI,2025-10-24,long,1461.0,6.06,0.5018571428571429,5.4,1.3151152860802717,WIN,earnings_flat_favorable,3.0,2.01252490748648,1.0,done
bf,breakout,BE,2025-07-23,long,1395.0,26.89,1.4155714285714291,25.74,0.8123927742456365,WIN,earnings_flat_favorable,5.0,7.579977797961444,1.0,done
bf,breakout,BIOA,2025-11-17,long,286.0,8.31,0.4373714285714287,7.84,1.0746015155474273,WIN,exit_fired,38.0,28.305461196759858,1.0,done
bf,breakout,BLDP,2021-01-06,long,255.0,24.305,1.4028428571428566,23.2,0.7876862289840024,WIN,exit_fired,23.0,11.829550199085533,1.0,done
bf,breakout,DAC,2020-12-04,long,234.0,11.5122,1.0084929443914434,10.805022000000001,0.7012225558273316,WIN,exit_fired,25.0,15.475864344710848,1.0,done
bf,breakout,EH,2021-01-05,long,254.0,25.5,2.9139285714285705,21.02,1.5374433141316344,WIN,exit_fired,14.0,22.135065571761253,1.0,done
bf,breakout,EOSE,2025-09-12,long,1324.0,8.2,0.5892142857142859,7.171,1.7463935022426937,WIN,exit_fired,22.0,14.901200145472176,1.0,done
bf,breakout,EOSE,2025-09-18,long,1328.0,9.0,0.6292142857142858,8.44,0.8899988647973669,WIN,exit_fired,18.0,12.68248382336247,1.0,done
bf,breakout,EQX,2025-08-22,long,1417.0,8.0125,0.31627563290024974,7.762733790523691,0.7897105672857266,WIN,exit_fired,45.0,8.0866172855202,0.0,done
bf,breakout,GDXU,2025-08-21,long,1182.0,98.31,5.826785714285713,92.41,1.0125651241189102,WIN,exit_fired,37.0,20.73012565124119,0.0,done
bf,breakout,HROW,2024-09-10,long,1179.0,41.06,2.108571428571429,39.42,0.7777777777777779,WIN,exit_fired,30.0,7.550135501355009,1.0,done
bf,breakout,HUT,2025-10-01,long,1444.0,36.53,2.508664285714287,34.5445,0.7914570360436548,WIN,exit_fired,9.0,5.347467206510006,1.0,done
bf,breakout,HYMC,2025-12-11,long,1494.0,12.36,0.8824285714285718,11.45,1.0312449409098265,WIN,exit_fired,8.0,16.749231018293663,1.0,done
bf,breakout,IONQ,2024-11-07,long,968.0,22.11,1.8917857142857144,16.29,3.076458372663772,WIN,exit_fired,40.0,14.525958089484615,1.0,done
bf,breakout,IREN,2024-06-03,long,637.0,8.0,0.7568571428571429,7.96,0.05285013212533036,WIN,exit_fired,11.0,7.861457153642883,1.0,done
bf,breakout,IREN,2025-06-23,long,900.0,10.66,0.6608571428571433,9.825,1.2635105923043672,WIN,exit_fired,20.0,11.999567661046253,1.0,done
bf,breakout,IREN,2025-06-24,long,901.0,11.54,0.6865714285714289,10.92,0.9030378693300025,WIN,exit_fired,19.0,10.268414481897624,1.0,done
bf,breakout,IZEA,2021-01-08,long,257.0,9.0,1.0965142857142853,7.28,1.5686070144353539,WIN,exit_fired,11.0,15.503673979884313,1.0,done
bf,breakout,JD,2020-05-29,long,102.0,47.6843,2.22132441076948,44.81428967421314,1.292026644947673,WIN,earnings_flat_favorable,54.0,3.0542589669060587,1.0,done
bf,breakout,KTOS,2025-09-11,long,1430.0,67.67,2.8142857142857136,65.6,0.7355329949238607,WIN,exit_fired,18.0,12.798984771573606,1.0,done
