setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
bf,FIZZ,230,230,1,0,LOSS,stop_hit,1,-1.0,40.814633374477204,230,1.8176845024833692,1,231.0,0
bf,MTSI,230,231,2,0,WIN,earnings_flat_favorable,36,6.7984766374464485,45.8713,231,1.4854357142857135,1,233.0,0
bf,NVMI,231,231,1,0,WIN,earnings_flat_favorable,50,10.60579083471108,65.2,231,1.6849285714285729,1,233.0,0
bf,CDNA,232,232,1,0,WIN,exit_fired,31,10.609013295538906,59.67,232,3.386742857142857,1,233.0,0
bf,CPS,232,233,2,0,WIN,exit_fired,2,0.1735091415608282,38.83,233,2.651157142857143,1,234.0,0
bf,MTCH,232,232,1,0,LOSS,stop_hit,4,-1.0,137.16388397034478,232,4.577552793670569,1,234.0,0
bf,DAC,233,234,2,1,LOSS,stop_hit,1,-1.0,11.660214,234,1.0084929443914434,1,235.0,0
bf,DAC,530,530,1,0,LOSS,stop_hit,1,-1.0,82.63173410464874,530,3.7713243495956976,0,532.0,0
bf,SONO,233,233,1,0,BE,no_breakout_within_fw,0,0.0,23.28,233,1.034278571428571,0,,0
bf,VCEL,234,234,1,0,LOSS,stop_hit,1,-1.0,25.52,234,1.0732142857142855,1,236.0,0
bf,ARAY,235,235,1,0,LOSS,stop_hit,1,-1.0,4.3698,235,0.27807857142857134,1,236.0,0
bf,VRDN,1197,1197,1,0,BE,no_breakout_within_fw,0,0.0,24.5,1197,1.3561857142857143,0,,0
bf,USLM,1198,1198,1,0,WIN,exit_fired,49,17.502636319830575,93.89864533673253,1198,2.691649063740788,0,1199.0,0
bf,SMG,1199,1199,1,0,LOSS,stop_hit,1,-1.0,80.16381249706916,1199,2.2413044294742477,1,1202.0,0
bf,MASI,1202,1202,1,0,LOSS,stop_hit,1,-1.0,143.5,1202,4.545328571428569,1,1203.0,0
bf,QFIN,1206,1206,1,0,LOSS,stop_hit,8,-1.0,30.981090477677178,1206,1.3507154041415987,1,1207.0,0
