setup,class,type,features,direction,threshold,ori,auc,kept_winner_frac,kept_loser_frac,lift
dtss,fade,pair,w_es_ext50_peak_20&w_nr_ratio_maxh15,AND,"w_es_ext50_peak_20<=0.6919, w_nr_ratio_maxh15<=0.9639",,,0.8681318681318682,0.5426975259377494,0.3254343421941187
dtss,fade,pair,w_es_ext50_peak_20&m_st_c_upper_half_50,AND,"w_es_ext50_peak_20<=0.8105, m_st_c_upper_half_50>=1.0000",,,0.8571428571428571,0.5350701402805611,0.322072716862296
dtss,fade,pair,w_es_ext50_pullback_20&w_es_ext50_pullback_50,AND,"w_es_ext50_pullback_20>=1.1309, w_es_ext50_pullback_50>=1.1309",,,0.9010989010989011,0.5802075019952115,0.3208913991036896
dtss,fade,pair,w_es_ext50_pullback_20&m_st_c_upper_half_50,AND,"w_es_ext50_pullback_20>=0.6797, m_st_c_upper_half_50>=1.0000",,,0.8367346938775511,0.531062124248497,0.3056725696290541
dtss,fade,pair,w_es_ext50_pullback_20&w_es_ext50_pullback_15,AND,"w_es_ext50_pullback_20>=1.1309, w_es_ext50_pullback_15>=0.6797",,,0.8571428571428571,0.5514764565043895,0.3056664006384676
dtss,fade,pair,w_es_ext50_pullback_50&w_es_ext50_peak_20,AND,"w_es_ext50_pullback_50>=1.1309, w_es_ext50_peak_20<=0.6919",,,0.8901098901098901,0.5857940941739824,0.30431579593590763
dtss,fade,pair,w_es_ext50_pullback_50&m_st_c_upper_half_50,AND,"w_es_ext50_pullback_50>=0.9590, m_st_c_upper_half_50>=1.0000",,,0.8571428571428571,0.5551102204408818,0.30203263670197533
dtss,fade,pair,w_es_ext50_pullback_50&w_nr_ratio_maxh15,AND,"w_es_ext50_pullback_50>=1.1309, w_nr_ratio_maxh15<=0.9639",,,0.8681318681318682,0.573024740622506,0.2951071275093622
dtss,fade,pair,w_es_ext50_pullback_15&m_st_c_upper_half_50,AND,"w_es_ext50_pullback_15>=0.5236, m_st_c_upper_half_50>=1.0000",,,0.8163265306122449,0.5270541082164328,0.2892724223958121
dtss,fade,pair,m_ns_c_minl55_pct&w_nr_ratio_maxh15,AND,"m_ns_c_minl55_pct>=56.8750, w_nr_ratio_maxh15<=0.9649",,,0.7894736842105263,0.5064935064935064,0.2829801777170199
dtss,fade,pair,w_es_ext50_peak_20&w_es_ext50_pullback_15,AND,"w_es_ext50_peak_20<=0.6919, w_es_ext50_pullback_15>=0.6797",,,0.8571428571428571,0.5762170790103751,0.280925778132482
dtss,fade,pair,m_stoch_7&w_nr_ratio_maxh15,AND,"m_stoch_7<=76.6937, w_nr_ratio_maxh15<=0.9639",,,0.7934782608695652,0.5129209083790133,0.2805573524905519
dtss,fade,pair,w_es_ext50_peak_20&m_ns_c_minl55_pct,AND,"w_es_ext50_peak_20<=0.7346, m_ns_c_minl55_pct>=56.8750",,,0.7894736842105263,0.5142857142857142,0.2751879699248121
dtss,fade,pair,w_es_ext50_pullback_50&m_ns_c_minl55_pct,AND,"w_es_ext50_pullback_50>=1.3184, m_ns_c_minl55_pct>=56.8750",,,0.7894736842105263,0.5298701298701298,0.2596035543403965
dtss,fade,pair,m_ns_c_minl55_pct&w_es_ext50_pullback_15,AND,"m_ns_c_minl55_pct>=56.8750, w_es_ext50_pullback_15>=0.3855",,,0.8157894736842105,0.5688311688311688,0.2469583048530417
dtss,fade,pair,w_es_ext50_pullback_20&m_ns_c_minl55_pct,AND,"w_es_ext50_pullback_20>=0.8028, m_ns_c_minl55_pct>=56.8750",,,0.7894736842105263,0.5428571428571428,0.2466165413533835
dtss,fade,pair,w_es_ext50_pullback_15&w_nr_ratio_maxh15,AND,"w_es_ext50_pullback_15>=0.6797, w_nr_ratio_maxh15<=0.9639",,,0.8351648351648352,0.6025538707102953,0.23261096445453988
dtss,fade,pair,w_es_ext50_pullback_50&w_es_ext50_pullback_15,AND,"w_es_ext50_pullback_50>=1.1309, w_es_ext50_pullback_15>=0.6797",,,0.8571428571428571,0.6296887470071828,0.2274541101356743
