feature,n,peak_lift_top,trough_lift_bot,peak_lift_bot,trough_lift_top,decile_rho_fwd10,fwd10_dec_low%,fwd10_dec_high%,fwd10_spread%,max_reversal_lift
ratio_HYG_IEF_roc20,1235,1.423,3.622,0.000,0.000,-0.042,1.588,0.173,-1.415,3.622
ratio_HYG_IEF_vs_sma50,1235,2.134,5.433,0.000,0.000,-0.842,2.269,-0.170,-2.439,5.433
ratio_HYG_TLT,1235,0.000,1.811,0.711,0.604,0.321,0.351,1.482,1.131,1.811
ratio_HYG_TLT_roc20,1235,1.423,3.018,0.711,1.811,-0.733,0.733,0.213,-0.520,3.018
ratio_HYG_TLT_vs_sma50,1235,0.711,3.018,0.711,1.207,-0.661,1.064,0.026,-1.038,3.018
ratio_TLT_SPY,1235,0.000,1.207,0.711,2.414,-0.079,0.344,1.124,0.780,2.414
ratio_TLT_SPY_roc20,1235,0.000,0.000,1.423,4.225,0.879,-0.017,1.351,1.368,4.225
ratio_TLT_SPY_vs_sma50,1235,0.000,0.000,2.134,6.036,0.855,-0.283,1.681,1.964,6.036
ratio_GLD_SPY,1235,1.423,1.207,0.711,1.811,0.806,-0.247,1.221,1.467,1.811
ratio_GLD_SPY_roc20,1235,0.711,0.604,0.711,3.622,-0.115,1.529,1.748,0.219,3.622
ratio_GLD_SPY_vs_sma50,1235,0.711,0.000,0.711,4.225,-0.127,1.145,0.954,-0.191,4.225
ratio_UUP_SPY,1235,0.000,1.207,1.423,1.811,0.115,0.047,1.408,1.361,1.811
ratio_UUP_SPY_roc20,1235,0.000,0.604,2.846,4.225,0.164,0.756,0.874,0.118,4.225
ratio_UUP_SPY_vs_sma50,1235,0.000,0.604,2.846,4.829,-0.212,0.409,1.779,1.370,4.829
ratio_XLP_XLY,1235,1.423,0.604,1.423,1.207,0.224,0.333,1.446,1.114,1.423
ratio_XLP_XLY_roc20,1235,0.711,0.000,1.423,2.414,-0.006,0.509,0.650,0.142,2.414
ratio_XLP_XLY_vs_sma50,1235,0.000,0.000,2.134,3.018,0.127,0.279,0.689,0.410,3.018
ratio_XLU_XLK,1235,0.711,0.000,1.423,1.207,-0.358,0.542,0.230,-0.312,1.423
ratio_XLU_XLK_roc20,1235,0.711,0.000,0.711,3.018,-0.867,1.067,0.216,-0.851,3.018
ratio_XLU_XLK_vs_sma50,1235,0.000,0.000,0.711,4.829,-0.588,1.059,0.767,-0.292,4.829
