feature,entry_mean,entry_std,other_mean,pooled_std,sep_zscore,n_entry
nr_h_maxh60_atr14,-0.19845487,0.57137895,1.7225759,0.84804004,2.2652595,73
nr_h_maxh63_atr14,-0.1673629,0.5331236,1.7291558,0.8403683,2.2567708,73
aroon_up_14,98.04495,7.918679,80.184166,7.919114,2.255402,73
st_h_gt_maxh10_1_15,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73
st_h_gt_maxh10_1_20,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73
st_h_gt_maxh10_1_50,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73
st_h_gt_maxh10_1_30,0.2739726,1.1088065,2.7739725,1.1088065,2.2546766,73
nr_h_maxh65_atr14,-0.163006,0.5331064,1.7315452,0.8416051,2.2511165,73
nr_h_maxh70_atr14,-0.15639412,0.5341489,1.7340385,0.8414436,2.246654,73
tir_h_gt_maxh65_1_30,0.69863015,0.700891,0.0,0.31344798,2.2288551,73
tir_h_gt_maxh65_1_10,0.69863015,0.700891,0.0,0.31344798,2.2288551,73
tir_h_gt_maxh65_1_15,0.69863015,0.700891,0.0,0.31344798,2.2288551,73
tir_h_gt_maxh65_1_20,0.69863015,0.700891,0.0,0.31344798,2.2288551,73
tir_h_gt_maxh65_1_5,0.69863015,0.700891,0.0,0.31344798,2.2288551,73
ct_c_gt_maxc10_1_3,1.6986301,0.77611804,0.45890412,0.5568174,2.2264497,73
nr_h_maxh35_adr14,-0.3917901,0.74903363,1.8094726,0.9906902,2.2219486,73
nr_h_maxh75_atr14,-0.10792612,0.4940713,1.7376889,0.8351281,2.2099783,73
nr_h_maxh80_atr14,-0.10792612,0.4940713,1.7444646,0.8418767,2.2003112,73
nr_h_maxh85_atr14,-0.10792612,0.4940713,1.7444646,0.8418767,2.2003112,73
nr_h_maxh90_atr14,-0.10533087,0.48909083,1.7444646,0.8412948,2.198748,73
nr_h_maxh95_atr14,-0.097705655,0.48011625,1.7444646,0.8402603,2.1923804,73
nr_h_maxh40_adr14,-0.33463654,0.74584246,1.8349868,0.9898788,2.1918073,73
nr_h_maxh45_adr14,-0.3028604,0.67964464,1.8415444,0.980783,2.1864214,73
cci_10,127.88784,51.5366,-36.038918,75.08301,2.1832738,73
nr_h_maxh55_adr14,-0.24804375,0.6292798,1.8572876,0.965938,2.179572,73
nr_h_maxh100_atr14,-0.08438495,0.47679585,1.7444646,0.8398821,2.1775076,73
nr_h_maxh105_atr14,-0.08438495,0.47679585,1.7478509,0.8420244,2.175989,73
nr_h_maxh50_adr14,-0.25343823,0.6348173,1.8498414,0.97295004,2.161755,73
nr_h_maxh126_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73
nr_h_maxh115_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73
nr_h_maxh110_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73
nr_h_maxh120_atr14,-0.063583665,0.44127065,1.7478509,0.8381421,2.1612499,73
nr_h_maxh60_adr14,-0.22087139,0.6174468,1.8581681,0.96380985,2.1571054,73
high_vs_xavgc21_atr14,2.6832592,0.80303335,0.8408048,0.8579054,2.1476197,73
nr_h_maxh63_adr14,-0.18528287,0.5699142,1.8650964,0.9549711,2.147059,73
ct_cci14_gt_100_3,2.30137,0.7938117,0.8938356,0.6571235,2.1419632,73
nr_h_maxh65_adr14,-0.18063083,0.56992877,1.8677118,0.9563438,2.1418476,73
nr_h_maxh70_adr14,-0.17368619,0.5713083,1.8704023,0.95628494,2.1375308,73
tir_h_gt_maxh50_1_5,0.8356164,0.8821328,0.0,0.39450178,2.1181562,73
tir_h_gt_maxh50_1_10,0.8356164,0.8821328,0.0,0.39450178,2.1181562,73
tir_h_gt_maxh50_1_15,0.8356164,0.8821328,0.0,0.39450178,2.1181562,73
tir_h_gt_maxh50_1_20,0.8356164,0.8821328,0.0,0.39450178,2.1181562,73
tir_h_gt_maxh50_1_30,0.8356164,0.8821328,0.0,0.39450178,2.1181562,73
nr_h_maxh2_atr14,-0.7141851,0.89499706,1.1073822,0.8665416,2.1021118,73
nr_h_maxh75_adr14,-0.12220242,0.53070146,1.8742983,0.9500842,2.1013935,73
nr_h_maxh80_adr14,-0.12220242,0.53070146,1.8816428,0.95719963,2.0934455,73
nr_h_maxh85_adr14,-0.12220242,0.53070146,1.8816428,0.95719963,2.0934455,73
nr_h_maxh90_adr14,-0.11932624,0.5250214,1.8816428,0.95657295,2.0918102,73
high_vs_xavgc21_adr14,2.8598433,0.93343174,0.8806251,0.94786865,2.088072,73
nr_h_maxh95_adr14,-0.1108783,0.51479906,1.8816428,0.95546114,2.0854027,73
stoch_7,78.703766,12.683747,45.278015,16.067642,2.0803146,73
retrace_high_15,0.9932176,0.024054222,0.6272056,0.17659612,2.0725935,73
nr_h_maxh100_adr14,-0.09647401,0.511678,1.8816428,0.95512575,2.0710537,73
nr_h_maxh105_adr14,-0.09647401,0.511678,1.8852012,0.9570294,2.0706525,73
nr_h_maxh126_adr14,-0.074838296,0.47635293,1.8852012,0.95337546,2.0558946,73
nr_h_maxh115_adr14,-0.074838296,0.47635293,1.8852012,0.95337546,2.0558946,73
nr_h_maxh110_adr14,-0.074838296,0.47635293,1.8852012,0.95337546,2.0558946,73
nr_h_maxh120_adr14,-0.074838296,0.47635293,1.8852012,0.95337546,2.0558946,73
nr_c_maxh5_atr14,0.32152766,0.7414162,2.3823225,1.0069261,2.04662,73
nr_c_maxh7_atr14,0.32969886,0.7199827,2.3829045,1.0041355,2.0447497,73
nr_h_maxh2_adr14,-0.77377266,0.99931467,1.19785,0.9720824,2.0282466,73
nr_c_maxh10_atr14,0.36330497,0.68403566,2.3829496,0.9990672,2.0215304,73
di_spread_7,36.366104,20.395731,-8.116262,22.046028,2.0177045,73
tir_cci14_gt_100_5,2.7534246,1.7621075,0.32534245,1.2046965,2.0155137,73
cci_14,144.07106,53.244938,-10.782579,76.89853,2.0137398,73
aroon_osc_7,69.85563,16.918734,4.5503798,32.45681,2.0120664,73
st_h_gt_maxh20_1_5,0.10958904,0.4583073,2.2773972,1.079066,2.008967,73
ct_l_lt_l1_3,0.5890411,0.6419507,1.9315069,0.6744974,1.9903201,73
nr_c_maxh15_atr14,0.4051661,0.6888672,2.3830917,0.9995442,1.9788275,73
ct_h_gt_h1_5,3.7945206,0.8326481,2.3287673,0.7495813,1.9554294,73
nr_c_maxh20_atr14,0.43610424,0.7063747,2.387085,0.9988216,1.9532824,73
nr_c_maxh5_adr14,0.3284272,0.7985643,2.5651906,1.1525487,1.9407107,73
st_h_gt_maxh20_1_15,0.24657534,1.1276921,2.678082,1.2539132,1.9391348,73
nr_c_maxh7_adr14,0.3382848,0.7702785,2.565786,1.1489265,1.9387673,73
ct_h_gt_maxh5_1_5,3.3424656,1.1082915,1.8561645,0.7668452,1.9382023,73
retrace_high_20,0.9929701,0.021921175,0.66054463,0.17177078,1.9352853,73
nr_c_maxh25_atr14,0.4691735,0.72049326,2.3936784,0.99740434,1.9295133,73
slope_xavgc8_off2_atr14,0.5820407,0.33635098,-0.10962816,0.36053392,1.9184572,73
nr_c_maxh10_adr14,0.37570018,0.72967315,2.5658345,1.1435847,1.9151483,73
roc_rank_5_lb120,0.74781275,0.17333438,0.32414067,0.22145788,1.9131045,73
touched_xavgc8,0.15068494,0.36021733,0.8287671,0.35596684,1.9049027,73
roc_rank_5_lb252,0.74953884,0.17401902,0.33268145,0.2190244,1.9032463,72
bb_pctb_10,0.79614425,0.15516427,0.37826186,0.21983737,1.9008706,73
vwap_dist_5_atr14,0.5091529,0.63284606,-0.762231,0.6690404,1.9003097,73
st_cci14_gt_100_5,0.12328767,0.4392292,2.0376713,1.0147316,1.8865911,73
slope_xavgc9_off2_atr14,0.55590254,0.30705926,-0.07066037,0.33234447,1.8852816,73
nr_c_maxh30_atr14,0.5240307,0.6955643,2.4017687,0.9968922,1.8835918,73
retrace_high_30,0.9898732,0.026787208,0.6826611,0.16350158,1.8789546,73
nr_c_maxh15_adr14,0.4198338,0.7275675,2.5659814,1.1431291,1.8774322,73
ext_ceil_xavgc8_atr14_lb1260,0.28112793,0.19562812,-0.13178699,0.2207404,1.8705907,18
high_vs_xavgc50_atr14,3.4914918,0.8107301,1.5917565,1.0156525,1.8704579,73
nr_c_maxh3_atr14,0.30650046,0.759343,2.1886523,1.0066835,1.8696561,73
ext_ceil_xavgc12_atr14_lb1260,0.3176668,0.1877192,-0.08014679,0.21311331,1.8666764,18
vwap_dist_5_adr14,0.5501499,0.69572014,-0.82263684,0.7362384,1.8645954,73
vwap_dist_10_atr14,1.1811155,0.7991145,-0.44406515,0.8745651,1.8582729,73
high_vs_xavgc50_adr14,3.7144692,0.9281952,1.6748631,1.100075,1.8540609,73
nr_c_maxh20_adr14,0.45312473,0.7434364,2.570147,1.1419296,1.8538991,73
stoch_9,80.425514,12.920366,49.796127,16.525106,1.8535062,73
bb_pctb_5,0.6538019,0.19913118,0.3104183,0.18570122,1.8491187,73
slope_xavgc8_off2_adr14,0.621553,0.38175657,-0.121635534,0.40204707,1.8485113,73
cci_20,158.22859,63.124912,15.226454,77.52378,1.8446229,73
ct_c_gt_maxc20_1_3,1.479452,0.8351576,0.42465752,0.57391274,1.8379005,73
range_pos_5,0.641046,0.21446493,0.25989416,0.20764256,1.8356152,73
retrace_5,0.641046,0.21446493,0.25989416,0.20764256,1.8356152,73
nr_c_maxh25_adr14,0.48856762,0.75701493,2.5769694,1.1400104,1.8319148,73
ext_avgc8_atr14,1.0244621,0.82359177,-0.5892641,0.88191956,1.8297883,73
vwap_dist_10_adr14,1.2626953,0.87914217,-0.48618498,0.95687664,1.8276967,73
