setup,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,outcome,reason,bars_to_outcome,profit_adr,ref_price,ref_idx,adr,had_earnings,entry_idx,rule_pass
dtss,WING,785,786,2,0,WIN,exit_fired,1,1.1111006974711664,178.69130083338155,787,6.647373051057978,1,787.0,0
dtss,WING,1188,1188,1,1,WIN,earnings_flat_favorable,25,5.505025899078318,431.076591833388,1189,11.717200430280908,1,1189.0,1
dtss,DNOW,780,781,2,0,WIN,earnings_flat_favorable,2,1.9286403085824477,14.86,784,0.4666499999999997,1,784.0,1
dtss,FLNC,322,322,1,0,WIN,exit_fired,27,4.4260654972320435,26.78,322,2.141857142857142,0,322.0,1
dtss,FLNC,365,366,2,0,WIN,exit_fired,13,3.7445715149377774,22.249,365,1.4177857142857146,1,365.0,1
dtss,FLNC,426,427,2,0,LOSS,stop_hit,1,-1.0,31.2,430,1.608071428571428,1,430.0,0
dtss,FLNC,429,430,2,0,WIN,earnings_flat_favorable,15,2.235204923516035,31.32,431,1.6016428571428563,1,431.0,0
dtss,FLNC,432,432,1,0,WIN,earnings_flat_favorable,13,1.46442227398585,30.12,433,1.6252142857142853,1,433.0,0
dtss,IMCR,508,508,1,0,WIN,earnings_flat_favorable,9,3.8802058961160513,67.288,509,3.205499999999998,1,509.0,1
dtss,IEZ,785,787,3,0,WIN,exit_fired,5,3.8078844681087776,22.162117022202874,785,0.6277808694627094,0,785.0,0
dtss,TT,785,785,1,0,WIN,exit_fired,5,1.8646668897704712,180.79226513356315,785,3.862976906534663,1,785.0,0
dtss,TT,799,799,1,0,WIN,exit_fired,10,2.94393265453646,187.71375952218784,799,3.645653886018581,1,799.0,0
dtss,CMI,796,796,1,0,WIN,exit_fired,10,4.8573274063640195,244.5954690779976,799,5.2949630375544245,1,799.0,1
dtss,TR,808,808,1,0,LOSS,stop_hit,13,-1.0,40.69343948364258,808,0.8916593194007874,0,808.0,0
dtss,TR,823,824,2,0,BE,held_to_end,60,0.0,40.37424850463867,823,0.7928562164306641,0,823.0,1
dtss,AI,578,579,2,0,WIN,exit_fired,25,7.0975918884664155,34.68,581,2.0852142857142852,1,581.0,1
dtss,AI,581,581,1,0,WIN,exit_fired,25,7.0975918884664155,34.68,581,2.0852142857142852,1,581.0,1
dtss,LIN,815,815,1,0,LOSS,stop_hit,1,-1.0,345.31108754537837,818,5.979558387829111,1,818.0,0
dtss,PARR,815,815,1,0,WIN,earnings_flat_favorable,20,6.7423053711526855,30.49,818,1.183571428571428,1,818.0,0
dtss,GFS,356,357,2,1,WIN,earnings_flat_favorable,24,5.4351552438222095,72.37,358,2.3127214285714315,1,358.0,1
dtss,GOLD,564,564,1,0,LOSS,stop_hit,11,-1.0,35.89403288531591,565,1.7076092933991924,1,565.0,0
dtss,QLYS,564,565,2,0,WIN,exit_fired,3,1.1188931024243662,145.5,566,4.835135714285714,1,566.0,1
dtss,RHI,564,564,1,0,WIN,earnings_flat_favorable,18,3.7494261271401386,104.52235446259955,564,2.3046605452633773,1,564.0,1
dtss,GDEN,566,567,2,0,WIN,earnings_flat_favorable,21,6.472534794850775,52.775357059829055,568,1.639999999424303,1,568.0,1
dtss,INVA,567,568,2,1,WIN,earnings_flat_favorable,14,5.280172413793101,20.71,569,0.6628571428571431,1,569.0,1
dtss,INVA,1204,1205,2,0,WIN,earnings_flat_favorable,13,2.6168224299065455,20.37,1206,0.3592142857142857,1,1206.0,0
dtss,CHKP,571,571,1,0,WIN,earnings_flat_favorable,11,2.940659340659339,145.545,572,3.4125000000000005,1,572.0,1
dtss,ALTO,575,575,1,0,WIN,earnings_flat_favorable,15,4.965265082266912,7.37,576,0.3907142857142857,1,576.0,1
dtss,GD,575,575,1,0,LOSS,stop_hit,2,-1.0,229.82545923070614,577,4.283526152194769,1,577.0,1
dtss,RTX,575,576,2,0,LOSS,stop_hit,1,-1.0,97.03844858531008,579,1.7280509182483235,1,579.0,0
dtss,WFRD,575,575,1,0,WIN,earnings_flat_favorable,6,3.237872552320663,39.1595029245767,577,1.9695348786986908,1,577.0,0
dtss,LYB,577,577,1,0,WIN,earnings_flat_favorable,5,3.302217965071092,85.2824547008547,580,1.9883165709545605,1,580.0,0
dtss,MEOH,578,578,1,0,WIN,earnings_flat_favorable,3,4.104941244697459,52.19904761904762,580,1.7757008406547463,1,580.0,1
dtss,MEOH,614,614,1,0,WIN,earnings_flat_favorable,31,7.656463857125907,50.40002942511346,614,1.7923456155730915,1,614.0,1
dtss,PKG,589,589,1,0,WIN,exit_fired,9,1.8166797018111855,146.9709549423344,589,3.407455335226607,1,589.0,1
dtss,PKG,984,984,1,0,WIN,exit_fired,1,0.8397425595371352,161.07364553061106,986,3.643789987609582,1,986.0,0
dtss,UNM,592,592,1,0,WIN,exit_fired,6,0.31181146073323446,33.0055415333701,592,1.0087555237079562,1,592.0,0
dtss,UNM,611,611,1,0,WIN,exit_fired,34,4.7991223370205045,33.688437325080734,611,0.908111320993423,1,611.0,0
dtss,KOF,603,605,3,0,WIN,exit_fired,10,3.3631931744073356,52.28108246437553,607,1.0932415337764394,1,607.0,0
dtss,CRK,605,605,1,0,LOSS,stop_hit,4,-1.0,20.011623730569948,607,1.0982872163644282,1,607.0,0
dtss,CRK,1314,1314,1,0,LOSS,stop_hit,5,-1.0,20.73,1314,0.9292857142857136,1,1314.0,0
dtss,CRK,1317,1317,1,0,WIN,exit_fired,4,5.154710458081251,21.64,1319,0.8264285714285707,1,1319.0,0
dtss,PM,605,605,1,0,WIN,exit_fired,1,0.8528720145965256,91.04030727306377,605,2.6279526525724726,1,605.0,1
dtss,ZIM,336,336,1,0,WIN,exit_fired,1,1.3581162378657683,23.385063942378366,336,1.2606902816131356,1,336.0,1
