class,setup,metric,n_w,n_l,w_p50,l_p50,w_p50_quantile_in_loser,auc
breakout,ALL,rng_adr,133,1588,0.9054726368159213,0.8689792541264852,0.5661209068010076,0.5312896536050453
breakout,ALL,body_frac,133,1588,0.4181818181818175,0.42071567905068796,0.4968513853904282,0.49418334880021214
breakout,ALL,close_pos,133,1588,0.6122448979591841,0.5636363636363635,0.5516372795969773,0.5420375561068919
breakout,base,rng_adr,47,599,0.9091714665485159,0.8740491905552494,0.5542570951585977,0.5301033637622988
breakout,base,body_frac,47,599,0.4772727272727268,0.4412200177672489,0.5575959933222037,0.509537171882215
breakout,base,close_pos,47,599,0.6018518518518507,0.5795454545454539,0.5225375626043406,0.5084360458920897
breakout,bf,rng_adr,56,474,0.8579519455828215,0.8015010836703407,0.609704641350211,0.5537597950572634
breakout,bf,body_frac,56,474,0.37393371899205846,0.39032631971866805,0.47890295358649787,0.48010849909584086
breakout,bf,close_pos,56,474,0.6119075729465364,0.6190544160102872,0.48945147679324896,0.5067058468957203
breakout,htf,rng_adr,30,515,1.0107750138612064,0.9126582315216828,0.7398058252427184,0.5823300970873786
breakout,htf,body_frac,30,515,0.4369047619047605,0.41752577319587797,0.5320388349514563,0.5094498381877023
breakout,htf,close_pos,30,515,0.618951612903226,0.4912280701754383,0.6388349514563106,0.6035598705501618
fade,ALL,rng_adr,92,1277,1.0497579970904933,0.966505496880979,0.6006264682850431,0.540686391338395
fade,ALL,body_frac,92,1277,0.5289256198347112,0.42038216560510044,0.6421299921691465,0.5777382452078581
fade,ALL,close_pos,92,1277,0.790937450106235,0.6540178571428515,0.6726703210649961,0.5960811684995404
fade,dtss,rng_adr,92,1277,1.0497579970904933,0.966505496880979,0.6006264682850431,0.540686391338395
fade,dtss,body_frac,92,1277,0.5289256198347112,0.42038216560510044,0.6421299921691465,0.5777382452078581
fade,dtss,close_pos,92,1277,0.790937450106235,0.6540178571428515,0.6726703210649961,0.5960811684995404
