setup,offset,n_ex,n_rand,log_close_ex_min,log_close_ex_max,log_close_ex_range,log_close_ex_std,log_close_rand_std,log_close_rand_in_frac,log_high_ex_min,log_high_ex_max,log_high_ex_range,log_high_ex_std,log_high_rand_std,log_high_rand_in_frac,log_low_ex_min,log_low_ex_max,log_low_ex_range,log_low_ex_std,log_low_rand_std,log_low_rand_in_frac,atr_close_ex_min,atr_close_ex_max,atr_close_ex_range,atr_close_ex_std,atr_close_rand_std,atr_close_rand_in_frac,atr_high_ex_min,atr_high_ex_max,atr_high_ex_range,atr_high_ex_std,atr_high_rand_std,atr_high_rand_in_frac,atr_low_ex_min,atr_low_ex_max,atr_low_ex_range,atr_low_ex_std,atr_low_rand_std,atr_low_rand_in_frac,all_axes_rand_in_frac,n_valid_all,cum_and_rand_in_frac,offset_carve_delta
htf,0,30,10005,0.0,0.0,0.0,0.0,0.0,1.0,0.0013165539171756196,0.1661425669231217,0.1648260130059461,0.030563278871990524,0.054013935050161305,0.744927536231884,-0.4292813166663334,-0.014913283850717522,0.4143680328156159,0.11792814531598975,0.034565379840238,0.3234382808595702,0.0,0.0,0.0,0.0,0.0,1.0,0.030094582975063858,1.5580602386815683,1.5279656557065044,0.3354941897663791,0.47900316256376446,0.7981009495252374,-3.757655508276557,-0.3964194373401518,3.361236070936405,0.918257025155262,0.4446844111824672,0.4057971014492754,0.19410294852573712,10005,0.19410294852573712,0.8058970514742629
htf,1,30,10005,-0.43392757277192595,-0.013105778180312283,0.4208217945916137,0.1292418364240462,0.05412221788626186,0.19760119940029985,-0.373449659495513,0.0047750086247475634,0.37822466812026057,0.11735713785277724,0.07995167639775441,0.45987006496751626,-0.605285824768611,-0.02147286088006913,0.5838129638885419,0.15575852840467588,0.0598027063619051,0.288655672163918,-3.6930909806429395,-0.35281805415484896,3.3402729264880904,0.9798306166400176,0.8636282684305338,0.2894552723638181,-3.325073173131318,0.08524100668277956,3.4103141798140975,1.0098184274962705,0.9720035711655057,0.35942028985507246,-3.8006985266989695,-0.9362675050014309,2.8644310216975386,0.9475382524004331,0.9437506076308619,0.24007996001999002,0.09785107446276861,10005,0.05987006496751624,0.13423288355822088
htf,2,30,10005,-0.5331825308672673,-0.006465299524430525,0.5267172313428368,0.14942069038927724,0.06301907581838954,0.3462268865567216,-0.45634559576838823,0.03645318371157976,0.492798779479968,0.11387779566311003,0.08630525348080796,0.775112443778111,-0.5893568864412062,-0.02031609243017573,0.5690407940110305,0.16346824205742783,0.06598734354285937,0.31924037981009495,-3.6801780751162156,-0.2289819425091747,3.451196132607041,1.0614402311607478,1.147205238866976,0.4021989005497251,-3.163661854047273,0.8586382494204674,4.022300103467741,1.0721139058348854,1.214042869133646,0.68055972013993,-4.614525139664804,-0.6605248341610828,3.9540003055037207,1.1052136436595459,1.2096025431626491,0.400599700149925,0.20509745127436282,10005,0.052273863068465765,0.007596201899050477
htf,3,30,10005,-0.5017910320323247,0.004919869863645847,0.5067109018959706,0.14351711570822737,0.07660030654999962,0.6176911544227887,-0.3629054936893685,0.07557668250713574,0.4384821761965042,0.1203577034481886,0.09375071085896602,0.872063968015992,-0.573400564410448,-0.003418009584909672,0.5699825548255383,0.16937951067129228,0.07637266258724146,0.5621189405297351,-4.692737430167598,0.07683604883026743,4.769573478997865,1.2384449142127227,1.3840766964243008,0.5497251374312844,-4.4581005586592175,1.8112322940432795,6.269332852702497,1.3651749615883955,1.4395945456106316,0.8653673163418291,-5.162011173184358,-0.12143521935068526,5.040575953833673,1.294458712723032,1.4299564394333066,0.6057971014492753,0.46656671664167915,10005,0.05007496251874063,0.002198900549725137
htf,4,30,10005,-0.6050084077350073,0.1786917887433759,0.7837001964783832,0.17800608042197907,0.09451185375584484,0.9774112943528236,-0.5209779952300087,0.24251983027734839,0.763497825507357,0.1667628592633156,0.12264163818310078,0.9766116941529236,-0.6478865051972734,-0.00753340463544972,0.6403531005618237,0.18106696135230657,0.09463515330316173,0.4927536231884058,-4.803049555273189,1.0151261858244884,5.8181757410976775,1.631416072231712,1.5836813480619512,0.793303348325837,-4.767471410419313,1.4239964551149071,6.191467865534221,1.6636139303301256,1.645864904791375,0.7784107946026987,-5.372299872935196,-0.2670975160582241,5.105202356876972,1.5748502943597789,1.623894134425372,0.5533233383308346,0.4585707146426787,10005,0.0463768115942029,0.0036981509245377284
htf,5,30,10005,-0.702373283933238,0.024568164827159546,0.7269414487603975,0.19458278000680498,0.11085675485632104,0.7567216391804098,-0.605285824768611,0.07932084234225492,0.6846066671108659,0.18635750805051438,0.1271903759930662,0.856471764117941,-0.9593230477907627,-0.007696206634470291,0.9516268411562925,0.23808094642155103,0.11018330541757294,0.49345327336331835,-6.350080688542228,0.4023581429624196,6.752438831504647,1.8950574330029026,1.7464629580324564,0.632983508245877,-6.121140398063477,0.7428150331613865,6.863955431224864,1.986259164807377,1.7957820472640715,0.5994002998500749,-6.856159225389996,-0.2760788796799078,6.580080345710089,1.6768518879866467,1.7811198861743867,0.551424287856072,0.4383808095952024,10005,0.04287856071964018,0.003498250874562722
htf,6,30,10005,-0.9808292530117264,-0.005794533708336201,0.9750347193033903,0.24448955316345314,0.1181936349154462,0.41019490254872565,-0.9736090050382393,0.005540180375615351,0.9791491854138547,0.23408286936635941,0.13328674618033376,0.4992503748125937,-1.1773099545386505,-0.025222231605265884,1.1520877229333846,0.28728872802636385,0.11792579718025015,0.33003498250874563,-6.877981651376148,-0.20805944555587164,6.669922205820276,1.7912658409342637,1.8949622200619316,0.4574712643678161,-6.466972477064221,0.20005715918833963,6.667029636252561,1.7803121766552992,1.9433497573516254,0.45847076461769115,-7.000000000000003,-0.8864035123937641,6.113596487606238,1.571872441174802,1.9233356604919654,0.4057971014492754,0.2507746126936532,10005,0.034482758620689655,0.008395802098950522
htf,7,30,10005,-1.181311960880505,-0.017727547999514086,1.163584412880991,0.2935998356855023,0.1246813361843833,0.30314842578710643,-1.1590062033662067,0.035710578784512004,1.1947167821507187,0.2730767062183779,0.14221417024187552,0.712543728135932,-1.2134002754320057,-0.04337153814257307,1.1700287372894327,0.29874373443704616,0.12635828464092955,0.23488255872063968,-6.41635287789134,-0.30690537084399006,6.10944750704735,1.6026679064542204,2.0430908279830633,0.4468765617191404,-6.133189887036043,0.5434782608695661,6.676668147905609,1.6543907948061551,2.093356524245248,0.5415292353823088,-6.482625067240453,-0.786445012787724,5.696180054452729,1.4242868089273306,2.0676426620877155,0.43268365817091453,0.1953023488255872,10005,0.029585207396301848,0.004897551224387807
htf,8,30,10005,-1.181813339682685,-0.023496106467177875,1.1583172332155072,0.2932718312167811,0.12893005981683003,0.27456271864067966,-1.1468257848093357,-0.023154906577601077,1.1236708782317346,0.276570887430258,0.14417506768764177,0.2127936031984008,-1.2295759477160395,-0.08119663765759841,1.1483793100584412,0.3028607881422334,0.1289943653768761,0.1374312843578211,-6.5428725121032825,-0.6777493606138099,5.865123151489472,1.4503171367426324,2.1760588068630673,0.3731134432783608,-6.109090909090911,-0.6138107416879778,5.4952801674029335,1.4192727529652915,2.228346632120598,0.3102448775612194,-6.554922001075848,-2.5447570332480822,4.010164967827766,1.0731168500569728,2.210583525175452,0.15532233883058472,0.06266866566716642,10005,0.013093453273363318,0.01649175412293853
htf,9,30,10005,-1.3015415960446834,-0.07185410376798355,1.2296874922766998,0.2931479607234419,0.13827331550240382,0.11824087956021989,-1.2676400443690021,-0.05334330708775609,1.214296737281246,0.28233612389293583,0.15051806006792467,0.1185407296351824,-1.3366329158559538,-0.0773386061134988,1.259294309742455,0.31548843804084575,0.13877897609783704,0.15152423788105948,-6.274673233566963,-2.301694915254236,3.972978318312727,1.1553493640265642,2.318246697039314,0.15082458770614693,-6.193786702026899,-2.1808330511344387,4.01295365089246,1.1712996601505237,2.3500250711878556,0.1232383808095952,-6.541426573426574,-3.023060858551075,3.518365714875499,1.0277301533422003,2.3350453944861154,0.1215392303848076,0.04367816091954023,10005,0.008395802098950524,0.004697651174412794
