setup,offset,n_ex,n_rand,log_close_ex_min,log_close_ex_max,log_close_ex_range,log_close_ex_std,log_close_rand_std,log_close_rand_in_frac,log_high_ex_min,log_high_ex_max,log_high_ex_range,log_high_ex_std,log_high_rand_std,log_high_rand_in_frac,log_low_ex_min,log_low_ex_max,log_low_ex_range,log_low_ex_std,log_low_rand_std,log_low_rand_in_frac,atr_close_ex_min,atr_close_ex_max,atr_close_ex_range,atr_close_ex_std,atr_close_rand_std,atr_close_rand_in_frac,atr_high_ex_min,atr_high_ex_max,atr_high_ex_range,atr_high_ex_std,atr_high_rand_std,atr_high_rand_in_frac,atr_low_ex_min,atr_low_ex_max,atr_low_ex_range,atr_low_ex_std,atr_low_rand_std,atr_low_rand_in_frac,all_axes_rand_in_frac,n_valid_all,cum_and_rand_in_frac,offset_carve_delta
base,0,42,10005,0.0,0.0,0.0,0.0,0.0,1.0,0.00043544524964107134,0.05481774667326345,0.05438230142362238,0.013058353678192828,0.054013935050161305,0.7371314342828585,-0.13615400099895958,-0.013532123227886196,0.12262187777107339,0.036029240979084956,0.034565379840238,0.33343328335832084,0.0,0.0,0.0,0.0,0.0,1.0,0.008656937917386356,1.4506820566631697,1.4420251187457833,0.30728690555415394,0.47900316256376446,0.8096951524237881,-2.960698090400995,-0.3124990573749453,2.6481990330260494,0.5413500320794107,0.4446844111824672,0.4933533233383308,0.22588705647176413,10005,0.22588705647176413,0.7741129435282359
base,1,42,10005,-0.15690474380983138,-0.012966422809055092,0.1439383210007763,0.040494995448822686,0.05412221788626186,0.19280359820089954,-0.12911944011234752,-0.0027216116464113143,0.1263978284659362,0.03638829977491779,0.07995167639775441,0.20529735132433782,-0.212474594964642,-0.020288938740116422,0.19218565622452558,0.050751027263234175,0.0598027063619051,0.28765617191404297,-3.503494715636553,-0.367397540427302,3.136097175209251,0.6452352624828847,0.8636282684305338,0.2820589705147426,-3.348410581256121,-0.08359966358284701,3.264810917673274,0.666416682583356,0.9720035711655057,0.24887556221889057,-3.817750837372624,-0.8006728343145515,3.0170780030580726,0.6428351698773819,0.9437506076308619,0.2925537231384308,0.09375312343828086,10005,0.06316841579210394,0.1627186406796602
base,2,42,10005,-0.2180132969174685,-0.008800107789344177,0.20921318912812434,0.05184434528099447,0.06301907581838954,0.3039480259870065,-0.20197680578828817,-0.0025644904583004557,0.1994123153299877,0.046466474449979665,0.08630525348080796,0.27206396801599203,-0.27477624047643195,-0.016307138198929327,0.25846910227750264,0.05928625325130353,0.06598734354285937,0.3532233883058471,-3.3117556634341563,-0.3519014846587109,2.9598541787754455,0.6919903312352248,1.147205238866976,0.3504247876061969,-3.1270631474620845,-0.10008410428932145,3.026979043172763,0.7057265635584121,1.214042869133646,0.2989505247376312,-3.7805313346906146,-0.6496570248191718,3.1308743098714427,0.7056426935236292,1.2096025431626491,0.4016991504247876,0.1726136931534233,10005,0.047076461769115445,0.0160919540229885
base,3,42,10005,-0.2893254581955108,-0.013160774644849313,0.2761646835506615,0.05840155154372989,0.07660030654999962,0.27426286856571713,-0.25471466376789637,0.0072522356052594815,0.26196689937315587,0.05506220797029759,0.09375071085896602,0.5144427786106947,-0.3187797767315811,-0.017815129385236647,0.3009646473463444,0.06733090947620941,0.07637266258724146,0.3541229385307346,-3.4428664903031625,-0.5251330912405368,2.9177333990626257,0.7339791234027447,1.3840766964243008,0.3180409795102449,-3.2680455897656833,0.29234137450573583,3.560386964271419,0.7902719437597099,1.4395945456106316,0.46906546726636683,-3.728785623834716,-0.7092001894880435,3.0195854343466726,0.7524570769784076,1.4299564394333066,0.39580209895052476,0.18930534732633683,10005,0.039280359820089955,0.00779610194902549
base,4,42,10005,-0.26864298982074347,0.0061810438223743516,0.2748240336431178,0.062051405613589586,0.09451185375584484,0.6147926036981509,-0.21118978328109622,0.01591250767616401,0.22710229095726023,0.051566515813986386,0.12264163818310078,0.6035982008995502,-0.2939802377404934,-0.002564386958655543,0.2914158507818379,0.06269229534949697,0.09463515330316173,0.5659170414792604,-3.5894990910152966,0.2490275155440573,3.8385266065593537,0.8009525024714507,1.5836813480619512,0.5884057971014492,-3.2835608988966736,0.6442303642967351,3.9277912631934084,0.8361366708408746,1.645864904791375,0.5762118940529735,-3.9617005825475244,-0.10286543197546495,3.8588351505720593,0.7740353399562334,1.623894134425372,0.591304347826087,0.42798600699650174,10005,0.03668165917041479,0.0025987006496751633
base,5,42,10005,-0.2954126465666362,-0.0029705110905279947,0.2924421354761082,0.061412629871326535,0.11085675485632104,0.4446776611694153,-0.2393634951809732,0.02546106419827309,0.26482455937924626,0.05469815490221555,0.1271903759930662,0.6644677661169416,-0.331464991841401,-0.0029705110905279947,0.328494480750873,0.06462680010569197,0.11018330541757294,0.5509245377311345,-3.7967448327324997,-0.1191321349383902,3.6776126977941095,0.8708974117877268,1.7464629580324564,0.4686656671664168,-3.500676101144423,0.45472369112600824,3.9553997922704314,0.8469654404002867,1.7957820472640715,0.5110444777611194,-4.133700713688827,-0.1191321349383902,4.0145685787504375,0.7916599729871302,1.7811198861743867,0.5770114942528736,0.38580709645177413,10005,0.03288355822088956,0.003798100949525235
base,6,42,10005,-0.23314626698626936,0.006663109014985745,0.2398093760012551,0.055730646510514945,0.1181936349154462,0.5989005497251374,-0.19741658136972678,0.042808092491884435,0.24022467386161123,0.05416346146576931,0.13328674618033376,0.7363318340829585,-0.2838390811726131,-0.006273682015733646,0.27756539915687944,0.06439042832105646,0.11792579718025015,0.495352323838081,-4.115375409681891,0.2111295610629416,4.326504970744833,0.8561130303108758,1.8949622200619316,0.5569215392303848,-3.8446828281391676,1.0699911164930491,4.9146739446322165,0.9453275418227799,1.9433497573516254,0.6515742128935532,-4.607415425018651,-0.12246584680910066,4.48494957820955,0.8418730142622511,1.9233356604919654,0.5701149425287356,0.4143928035982009,10005,0.03118440779610195,0.0016991504247876078
base,7,42,10005,-0.2939802377404934,0.07982227341716037,0.3738025111576538,0.07719780233050262,0.1246813361843833,0.8767616191904049,-0.2586175974170687,0.11618991758803536,0.37480751500510406,0.07353225626921783,0.14221417024187552,0.8835582208895553,-0.32077459087801424,0.04619435698740584,0.36696894786542006,0.07905117515249646,0.12635828464092955,0.8574712643678161,-4.638424494240172,0.7896912229516156,5.428115717191788,1.1147976449518346,2.0430908279830633,0.6815592203898051,-4.18515551249852,1.1709214685144653,5.356076981012985,1.151482423362369,2.093356524245248,0.6590704647676162,-5.020495446302946,0.4493070751276429,5.469802521430589,1.1161375894682493,2.0676426620877155,0.6972513743128436,0.6089955022488756,10005,0.030284857571214394,0.0008995502248875555
base,8,42,10005,-0.3136118065731385,0.10722124760527486,0.4208330541784133,0.08168183225321665,0.12893005981683003,0.904647676161919,-0.28777866747721226,0.11107481692126493,0.3988534843984772,0.07558215335088823,0.14417506768764177,0.8735632183908046,-0.3524202335940078,0.0037192890054874514,0.3561395225994953,0.08665311019211414,0.1289943653768761,0.6490754622688656,-4.918995155929626,1.0756139071237527,5.994609063053379,1.1827150234454986,2.1760588068630673,0.7288355822088955,-3.907322544215736,1.1164600048626296,5.023782549078366,1.119472873195632,2.228346632120598,0.6340829585207396,-4.9528314592594604,0.09115768472979732,5.043989143989258,1.106957869237012,2.210583525175452,0.6141929035482259,0.5646176911544228,10005,0.028585707146426786,0.0016991504247876078
base,9,42,10005,-0.27565349658617383,0.03103210924772846,0.3066856058339023,0.07732731822527403,0.13827331550240382,0.7384307846076962,-0.24832834380199825,0.03933091206242354,0.2876592558644218,0.06894854709011161,0.15051806006792467,0.7091454272863568,-0.30880570390307416,-0.005928578206619774,0.30287712569645436,0.0769863264450859,0.13877897609783704,0.5046476761619191,-4.343992442974137,0.46551561561710725,4.809508058591244,1.0840973582545756,2.318246697039314,0.5882058970514743,-4.051748921897461,0.692853987900564,4.744602909798026,1.073375815465528,2.3500250711878556,0.5441279360319841,-4.694058457115477,-0.14091595369904575,4.5531425034164315,1.0151527540638665,2.3350453944861154,0.5481259370314843,0.4270864567716142,10005,0.026186906546726636,0.00239880059970015
base,10,42,10005,-0.4079434241226313,0.03021208805801777,0.4381555121806491,0.0823777777450596,0.14294095533561005,0.7351324337831084,-0.21686042810699527,0.0455254854683844,0.26238591357537966,0.058536119467241327,0.15634024820927442,0.7166416791604198,-0.4154154389613325,0.006510992569919027,0.42192643153125153,0.08181746513421122,0.14281022205093558,0.6672663668165917,-3.9628503497443885,0.750383380397722,4.713233730142111,1.107753115337604,2.409058468403028,0.6185907046476762,-3.6448114984960753,1.139471059122469,4.784282557618544,1.0415894143811344,2.4545650182338634,0.6016991504247876,-4.21574341253781,0.15980386804766109,4.375547280585471,0.9984286989922283,2.4229349595113825,0.5851074462768616,0.5064467766116941,10005,0.022488755622188907,0.0036981509245377284
