setup,offset,n_ex,n_rand,log_close_ex_min,log_close_ex_max,log_close_ex_range,log_close_ex_std,log_close_rand_std,log_close_rand_in_frac,log_high_ex_min,log_high_ex_max,log_high_ex_range,log_high_ex_std,log_high_rand_std,log_high_rand_in_frac,log_low_ex_min,log_low_ex_max,log_low_ex_range,log_low_ex_std,log_low_rand_std,log_low_rand_in_frac,atr_close_ex_min,atr_close_ex_max,atr_close_ex_range,atr_close_ex_std,atr_close_rand_std,atr_close_rand_in_frac,atr_high_ex_min,atr_high_ex_max,atr_high_ex_range,atr_high_ex_std,atr_high_rand_std,atr_high_rand_in_frac,atr_low_ex_min,atr_low_ex_max,atr_low_ex_range,atr_low_ex_std,atr_low_rand_std,atr_low_rand_in_frac,all_axes_rand_in_frac,n_valid_all,cum_and_rand_in_frac,offset_carve_delta
dtss,0,73,10005,0.0,0.0,0.0,0.0,0.0,1.0,0.0007829832058634519,0.4430680828870319,0.44228509968116847,0.06421822739195557,0.054013935050161305,0.7908045977011494,-0.11958675837218208,0.0,0.11958675837218208,0.02071457803604891,0.034565379840238,0.9818090954522739,0.0,0.0,0.0,0.0,0.0,1.0,0.030657168980920822,3.1114330627953617,3.0807758938144407,0.6369096267399869,0.47900316256376446,0.8205897051474262,-1.601831164870027,0.0,1.601831164870027,0.2867488567338067,0.4446844111824672,0.9822088955522239,0.7634182908545727,10005,0.7634182908545727,0.2365817091454273
dtss,1,73,10005,-0.2532587505902932,0.07915235631306457,0.33241110690335773,0.05483973755782696,0.05412221788626186,0.9728135932033983,-0.218826554168809,0.10895118378855483,0.3277777379573638,0.053900322643146384,0.07995167639775441,0.9524237881059471,-0.4496786052501846,0.048697274846992794,0.49837588009717737,0.08053603488093997,0.0598027063619051,0.9754122938530735,-2.448818897637795,1.3583878473899096,3.8072067450277043,0.745958531440384,0.8636282684305338,0.9543228385807097,-2.0866141732283467,1.5966494845360788,3.6832636577644253,0.791176435169404,0.9720035711655057,0.9150424787606197,-3.218913439919817,0.9591924398625422,4.178105879782359,0.8762179151119346,0.9437506076308619,0.9500249875062469,0.8689655172413793,10005,0.6630684657671164,0.10034982508745627
dtss,2,73,10005,-0.43877931479214893,0.07197349962508945,0.5107528144172384,0.08446224819798742,0.06301907581838954,0.9458270864567716,-0.3898601100392745,0.13041709549516392,0.5202772055344385,0.07522191643001017,0.08630525348080796,0.9519240379810094,-0.5821167372262606,0.05328136661293678,0.6353981038391974,0.10183049102164987,0.06598734354285937,0.9551224387806097,-5.098654589210463,1.0734536082474204,6.1721081974578835,1.0273280329395953,1.147205238866976,0.8707646176911544,-4.945929902640946,1.7620274914089344,6.70795739404988,1.0064715865911695,1.214042869133646,0.8971514242878561,-5.756545546740698,0.9501718213058408,6.706717368046538,1.042553067524532,1.2096025431626491,0.904447776111944,0.8172913543228386,10005,0.593103448275862,0.06996501749125439
dtss,3,73,10005,-0.5777017190171438,0.08119015473001341,0.6588918737471573,0.09894070845186012,0.07660030654999962,0.9371314342828586,-0.380229216978313,0.121645109422327,0.50187432640064,0.07363990070419944,0.09375071085896602,0.9327336331834083,-0.5954799650384276,0.03482223738072911,0.6303022024191567,0.1032861013208731,0.07637266258724146,0.9031484257871064,-5.780051933481413,1.2723361285507293,7.052388062032143,1.0680100653670241,1.3840766964243008,0.8657671164417791,-5.670403507042665,1.6043016439684439,7.2747051510111085,1.0900889465795,1.4395945456106316,0.8379810094952523,-6.712063558210767,0.6699740966764719,7.382037654887239,1.1037651146395675,1.4299564394333066,0.8285857071464268,0.7636181909045477,10005,0.5268365817091454,0.06626686656671665
dtss,4,73,10005,-0.40546510810816444,0.049471089015451324,0.45493619712361577,0.08552055070831445,0.09451185375584484,0.8692653673163419,-0.3171627760716082,0.06026948715747892,0.37743226322908713,0.06782137081349522,0.12264163818310078,0.8246876561719141,-0.45942932685478727,0.024266566997049183,0.4836958938518364,0.09163014550796937,0.09463515330316173,0.8397801099450275,-6.798206118947286,0.9588620099222894,7.757068128869576,1.172633177534636,1.5836813480619512,0.7859070464767616,-6.17947533316891,1.0756464854897465,7.255121818658656,1.1564950666130946,1.645864904791375,0.704247876061969,-6.868694436314441,0.5201890034364229,7.388883439750864,1.1240823881743784,1.623894134425372,0.7722138930534732,0.6497751124437781,10005,0.43158420789605195,0.09525237381309343
dtss,5,73,10005,-0.3401487113505216,0.019682907329391108,0.3598316186799127,0.07108185924074618,0.11085675485632104,0.7233383308345827,-0.3030704449797315,0.06733312006858716,0.3704035650483187,0.06363210710497748,0.1271903759930662,0.832183908045977,-0.3574803608791688,-0.004087895319667208,0.3533924655595016,0.08218604290846825,0.11018330541757294,0.5339330334832584,-6.30477187110475,0.4927778759726017,6.797549747077351,1.1111871464425074,1.7464629580324564,0.6545727136431784,-5.944497897619611,0.8638547313676237,6.808352628987235,1.1146616707934667,1.7957820472640715,0.6287856071964018,-6.320435956908451,-0.10449137287614806,6.215944584032303,1.1131167606009555,1.7811198861743867,0.5970014992503748,0.48195902048975514,10005,0.3270364817591204,0.10454772613693153
dtss,6,73,10005,-0.33049768974657134,0.020034530143896376,0.35053221989046773,0.07537751383323865,0.1181936349154462,0.7148425787106447,-0.3096240666038183,0.03034071705267222,0.3399647836564905,0.06823527341807438,0.13328674618033376,0.6855572213893053,-0.46860312504494367,-0.012993220757067606,0.45560990428787607,0.08851559926929237,0.11792579718025015,0.4283858070964518,-6.398794912276225,0.550023655443935,6.94881856772016,1.1913468634491189,1.8949622200619316,0.6519740129935032,-6.054185837231109,0.7553141747293474,6.8095000119604565,1.233238804513232,1.9433497573516254,0.593103448275862,-6.594595523097312,-0.47257383966244726,6.122021683434864,1.1940096001300204,1.9233356604919654,0.49825087456271866,0.3651174412793603,10005,0.24547726136931533,0.08155922038980509
dtss,7,73,10005,-0.48169247349604866,0.02852300395274195,0.5102154774487906,0.09155073049694207,0.1246813361843833,0.7533233383308345,-0.3706901939315541,0.03576722385863114,0.40645741779018524,0.08181649058662353,0.14221417024187552,0.7083458270864568,-0.518426888256034,0.005511442059534958,0.5239383303155689,0.10348834512846604,0.12635828464092955,0.6810594702648676,-6.64161169821421,0.547043069763356,7.1886547679775665,1.3746479652897614,2.0430908279830633,0.6448775612193903,-5.905402500641701,0.5900689291829462,6.495471429824647,1.3784422358025732,2.093356524245248,0.5509245377311345,-6.704267800135277,0.10449137287614588,6.808759173011423,1.396452194461389,2.0676426620877155,0.6429785107446276,0.5274362818590704,10005,0.2271864067966017,0.018290854572713622
dtss,8,73,10005,-0.46558683828714637,0.015164026657543917,0.48075086494469027,0.09610898242691639,0.12893005981683003,0.6696651674162919,-0.42476484376689116,0.035449983791801844,0.46021482755869303,0.09003743666871686,0.14417506768764177,0.7057471264367816,-0.5607632349918996,-0.00032515038491637114,0.5604380846069833,0.10812306132715922,0.1289943653768761,0.6008995502248875,-5.947170174665274,0.28888791324581753,6.236058087911092,1.3237476421310277,2.1760588068630673,0.5801099450274863,-5.7994715889830255,0.6822671993677831,6.481738788350809,1.371720634290884,2.228346632120598,0.567616191904048,-6.4731344666870045,-0.0061465513456566674,6.466987915341348,1.3588656544699262,2.210583525175452,0.6021989005497251,0.5122438780609695,10005,0.2127936031984008,0.014392803598200915
dtss,9,73,10005,-0.4489939082018673,0.01292007636510429,0.4619139845669716,0.09819719499202807,0.13827331550240382,0.6484757621189405,-0.3937385893678452,0.020210509627783577,0.4139490989956288,0.08603648569287393,0.15051806006792467,0.6190904547726137,-0.5828186850150867,-0.010129150481537218,0.5726895345335495,0.1151005930708381,0.13877897609783704,0.4673663168415792,-6.116808774676335,0.2458620538262274,6.362670828502563,1.3465186179155988,2.318246697039314,0.5691154422788606,-5.780031050126859,0.38600342450717845,6.166034474634038,1.333246378838559,2.3500250711878556,0.5090454772613693,-6.128556834835038,-0.1905430917153283,5.9380137431197095,1.3241411416199247,2.3350453944861154,0.5618190904547726,0.39800099950024986,10005,0.18860569715142428,0.024187906046976515
